"Indicador: Cantidad de empresas industriales"
"Dimensión/es:  /Actividad económica y productiva"
"Sub dimensión/es:  /Actividad económica y productiva"
"Año: 2013"

;Total
Montevideo;3124
Artigas;55
Canelones;563
"Cerro Largo";88
Colonia;60
Durazno;40
Flores;28
Florida;101
Lavalleja;54
Maldonado;188
Paysandú;144
"Río Negro";54
Rivera;67
Rocha;62
Salto;97
"San José";154
Soriano;85
Tacuarembó;61
"Treinta y Tres";38
"Municipio A";311
"Municipio B";704
"Municipio C";641
"Municipio CH";284
"Municipio D";306
"Municipio E";259
"Municipio F";303
"Municipio G";285
"Baltasar Brum";1
"Bella Unión";10
"Tomás Gomensoro";1
"18 de Mayo";S/D
"Aguas Corrientes";0
Atlántida;10
"Barros Blancos";26
Canelones;80
"Los Cerrillos";4
"Ciudad de la Costa";44
Nicolich;9
"Empalme Olmos";6
"La Floresta";12
"La Paz";43
"Las Piedras";71
Migues;1
Montes;1
Pando;54
"Parque del Plata";3
"Paso Carrasco";17
Progreso;25
Salinas;18
"San Antonio (Can.)";0
"San Bautista";1
"San Jacinto";6
"San Ramón";6
"Santa Lucía";31
"Santa Rosa";5
Sauce;30
Soca;1
Suárez;17
Tala;7
Toledo;10
"Fraile Muerto";2
"Río Branco";19
Aceguá;S/D
Arbolito;S/D
Arévalo;S/D
"Isidoro Noblía";S/D
"Plácido Rosas";S/D
"Ramón Trigo";S/D
Tupambaé;S/D
"Bañado de Medina";6
Centurión;6
"Cerro de las Cuentas";8
"Cañas (Caserío Las Cañas según INE)";5
Quebracho;2
"Tres Islas";8
Carmelo;S/D
"Juan Lacaze";S/D
"Nueva Helvecia";S/D
"Nueva Palmira";4
Rosario;0
Tarariras;0
"Colonia Valdense";1
"Florencio Sánchez";9
"Ombúes de Lavalle";S/D
"La Paz";3
Miguelete;3
"Sarandí del Yí";S/D
"Villa del Carmen";1
"Ismael Cortinas";1
Casupá;95
"Sarandí Grande";12
"Fray Marcos";13
Solís;17
"José Pedro Varela";39
"José Batlle y Ordoñez";2
Mariscala;0
Aiguá;7
Garzón;2
Maldonado;S/D
"Pan de Azúcar";S/D
Piriápolis;S/D
"Punta del Este";S/D
"San Carlos";1
"Solís Grande";20
Guichón;S/D
Porvenir;1
Quebracho;57
Chapicuy;0
"Lorenzo Geyres";8
"Piedras Coloradas";7
Tambores;7
"Nuevo Berlín";6
Young;0
"San Javier";0
"Minas de Corrales";0
Tranqueras;0
Vichadero;0
Castillos;0
Chuy;16
"La Paloma";35
Lascano;S/D
Belén;S/D
"Villa Constitución";5
"Colonia Lavalleja";22
Mataojo;S/D
"San Antonio (Salto)";S/D
Valentín;12
"Ciudad del Plata";2
Libertad;S/D
"Ecilda Paullier";1
Rodriguez;2
Cardona;3124
Dolores;0
Palmitas;41
"José Enrique Rodó";8
"Paso de los Toros";1
"San Gregorio de Polanco";1
Ansina;0
"Santa Clara de Olimar";0
Vergara;0
"Cerro Chato";0
"Gral. Enrique Martínez (Charqueada)";0
Rincón;0
"Villa Sara";0
MONTEVIDEO;0
"RURAL MONTEVIDEO";0
ARTIGAS;0
"BELLA UNION";0
"TOMAS GOMENSORO";0
"BALTASAR BRUM";0
"BERNABE RIVERA";0
FRANQUIA;0
SEQUEIRA;0
CORONADO;0
CUAREIM;0
CUARO;0
"JAVIER DE VIANA";0
"LA BOLSA";0
"LAS PIEDRAS (ART)";0
PINTADITO;0
"PORT. DE HIERRO Y CAMPODONICO";2
"MONES QUINTELA";73
"RURAL ARTIGAS";77
CAINSA;41
"PASO CAMPAMENTO";52
"DIEGO LAMAS";31
"PASO FARIAS";0
"RINCON DE PACHECO";0
TOPADOR;0
"CERRO EJIDO";0
"COLONIA PALMA";0
"CERRO SIGNORELLI (EL MIRADOR)";24
"CERRO SAN EUGENIO";6
CALNU;26
"LAS PIEDRAS (CAN)";7
CANELONES;17
"LA PAZ (CAN)";12
PANDO;5
"SANTA LUCIA";26
"PIEDRAS DE AFILAR";7
"CUMBRES DE CARRASCO";0
"HARAS DEL LAGO";0
"QUINTA LOS HORNEROS";7
"SOFIA SANTOS";0
PROGRESO;4
"SAN RAMON";6
"BARROS BLANCOS";1
"COLONIA NICOLICH";3
"JOAQUIN SUAREZ";1
"PASO CARRASCO";6
"SANTA ROSA";1
SAUCE;7
TALA;1
"VILLA CRESPO Y SAN ANDRES";11
"FRACC. CNO. ANDALUZ Y R.84";0
ATLANTIDA;0
"ESTACION ATLANTIDA";4
CERRILLOS;3
"EMPALME OLMOS";7
MIGUES;1
"PARQUE DEL PLATA";0
"SAN BAUTISTA";1
"SAN JACINTO";7
"DR. FRANCISCO SOCA";0
"TOLEDO (CAN)";0
MONTES;18
"SAN JOSE DE CARRASCO";2
"FRACC. SOBRE RUTA 74";0
"AGUAS CORRIENTES";0
"BARRA DE CARRASCO";2
JUANICO;0
"LA FLORESTA";5
"ESTACION LA FLORESTA";0
"LAS TOSCAS (CAN)";4
"PARQUE CARRASCO";3
SALINAS;0
"SAN ANTONIO (LOC/CAN)";0
"AEROPUERTO INTERNACIONAL DE CARRASCO";2
SOLYMAR;6
"VILLA AEROPARQUE";4
CASTELLANOS;0
"BARRIO COPOLA";0
"COSTA AZUL";1
"COSTA Y GUILLAMON";0
"EL PINAR";0
"ESTACION MIGUES";0
"PINAMAR PINEPARK";0
LAGOMAR;0
OLMOS;0
"PARADA CABRERA";0
"SAN LUIS";0
SHANGRILA;0
"TOTORAL DEL SAUCE";0
"VILLA FELICIDAD";0
"VILLA PAZ S.A.";0
"VILLA SAN JOSE";0
"ESTACION TAPIA";0
"VILLA SAN FELIPE";0
"VILLA HADITA";0
"PASO DE PACHE";0
"RURAL CANELONES";0
"CITY GOLF";0
"VIEJO MOLINO SAN BERNARDO";1
"ESTANQUE DE PANDO";0
"JARDINES DE PANDO";0
"PASO ESPINOSA";0
ARAMINDA;1
ARGENTINO;0
"BELLO HORIZONTE";0
BIARRITZ;0
BOLIVAR;0
"CAMPO MILITAR";0
"CAPILLA DE CELLA";3
"CRUZ DE LOS CAMINOS (CAN)";4
"CUCHILLA ALTA";0
"EL BOSQUE";0
"ESTACION PEDRERA";0
