loc_origen,loc_destino,personas_mig,pobl_origen,pobl_destino,cod,distancia_m,geom_ori,geom_des
1020,2220,635,1304729,40657,10202220,583715,POINT (573082.2484702046 6145008.43370907),POINT (549273.2185291488 6633915.062681103)
3221,2220,5,71258,40657,32212220,570608,POINT (571815.1381244587 6157813.988089516),POINT (549273.2185291488 6633915.062681103)
3320,2220,10,19865,40657,33202220,547145,POINT (565955.6405053993 6179409.202056422),POINT (549273.2185291488 6633915.062681103)
3321,2220,1,20524,40657,33212220,573837,POINT (570666.0469444469 6153926.677853951),POINT (549273.2185291488 6633915.062681103)
3322,2220,1,25947,40657,33222220,583158,POINT (594619.1628683957 6157118.214678776),POINT (549273.2185291488 6633915.062681103)
3323,2220,1,16742,40657,33232220,546931,POINT (556468.9904573727 6186643.790688833),POINT (549273.2185291488 6633915.062681103)
3421,2220,2,16244,40657,34212220,565389,POINT (571422.0096265917 6162788.050535546),POINT (549273.2185291488 6633915.062681103)
3422,2220,1,7133,40657,34222220,530746,POINT (596125.5232531353 6204942.494705392),POINT (549273.2185291488 6633915.062681103)
3525,2220,2,15908,40657,35252220,598874,POINT (587580.4026155119 6142292.506456386),POINT (549273.2185291488 6633915.062681103)
3621,2220,7,5562,40657,36212220,592437,POINT (613631.1844891007 6152548.397836315),POINT (549273.2185291488 6633915.062681103)
3624,2220,1,2508,40657,36242220,562056,POINT (558431.9420450316 6170250.813025981),POINT (549273.2185291488 6633915.062681103)
3631,2220,7,4397,40657,36312220,582686,POINT (583281.2078731833 6155365.628785741),POINT (549273.2185291488 6633915.062681103)
3727,2220,1,8628,40657,37272220,598986,POINT (590657.5221295444 6142366.791488993),POINT (549273.2185291488 6633915.062681103)
3729,2220,1,8626,40657,37292220,595537,POINT (606133.0393047305 6151327.95857721),POINT (549273.2185291488 6633915.062681103)
3732,2220,3,18573,40657,37322220,596376,POINT (594448.8143284387 6145604.621110858),POINT (549273.2185291488 6633915.062681103)
3828,2220,1,21091,40657,38282220,596379,POINT (600169.0660007594 6149058.795812866),POINT (549273.2185291488 6633915.062681103)
3830,2220,1,4724,40657,38302220,594496,POINT (604677.5426081594 6151288.533430437),POINT (549273.2185291488 6633915.062681103)
4220,2220,10,51830,40657,42202220,368473,POINT (766475.5195453273 6415360.379009241),POINT (549273.2185291488 6633915.062681103)
4522,2220,1,14604,40657,45222220,456281,POINT (839046.0861133797 6388193.206929483),POINT (549273.2185291488 6633915.062681103)
5320,2220,10,26231,40657,53202220,586646,POINT (422937.9810020199 6187566.893377856),POINT (549273.2185291488 6633915.062681103)
5422,2220,2,10085,40657,54222220,562069,POINT (467732.0998145878 6202465.575935196),POINT (549273.2185291488 6633915.062681103)
5521,2220,1,3390,40657,55212220,526022,POINT (425254.2145107206 6244548.931422319),POINT (549273.2185291488 6633915.062681103)
5831,2220,3,999,40657,58312220,538025,POINT (440216.6404586061 6237109.021284476),POINT (549273.2185291488 6633915.062681103)
6220,2220,14,34368,40657,62202220,409305,POINT (544395.6968756896 6306205.764611009),POINT (549273.2185291488 6633915.062681103)
7721,2220,1,918,40657,77212220,506008,POINT (491662.4149445419 6242035.962422337),POINT (549273.2185291488 6633915.062681103)
8220,2220,5,33639,40657,82202220,497124,POINT (571771.8401191942 6226149.775983537),POINT (549273.2185291488 6633915.062681103)
8623,2220,1,1849,40657,86232220,541152,POINT (554472.7710832069 6191933.104241417),POINT (549273.2185291488 6633915.062681103)
8991,2220,1,83,40657,89912220,519874,POINT (654763.0906915517 6279977.683994068),POINT (549273.2185291488 6633915.062681103)
9220,2220,1,38446,40657,92202220,605710,POINT (661451.1977671548 6194686.506299259),POINT (549273.2185291488 6633915.062681103)
9522,2220,4,5118,40657,95222220,477399,POINT (729009.06491 6295613.887045726),POINT (549273.2185291488 6633915.062681103)
10320,2220,18,62590,40657,103202220,656118,POINT (687553.5499826567 6136432.37380928),POINT (549273.2185291488 6633915.062681103)
10321,2220,2,27471,40657,103212220,642752,POINT (690360.4399311694 6148353.881728973),POINT (549273.2185291488 6633915.062681103)
10522,2220,2,6597,40657,105222220,633931,POINT (662119.7836328691 6150716.66988565),POINT (549273.2185291488 6633915.062681103)
10524,2220,4,9277,40657,105242220,661203,POINT (688889.8077629332 6131313.453030547),POINT (549273.2185291488 6633915.062681103)
11120,2220,33,76412,40657,111202220,319113,POINT (398432.2411582735 6423719.024001375),POINT (549273.2185291488 6633915.062681103)
11521,2220,1,5039,40657,115212220,302287,POINT (481314.2457502442 6419794.239705266),POINT (549273.2185291488 6633915.062681103)
11723,2220,1,1159,40657,117232220,329070,POINT (408799.7874064656 6415503.316052442),POINT (549273.2185291488 6633915.062681103)
11827,2220,1,1094,40657,118272220,331433,POINT (442773.6842383479 6418021.751982008),POINT (549273.2185291488 6633915.062681103)
11931,2220,3,340,40657,119312220,325327,POINT (410122.4818075107 6420319.226825792),POINT (549273.2185291488 6633915.062681103)
11953,2220,1,700,40657,119532220,266582,POINT (454813.2828538485 6472247.131024588),POINT (549273.2185291488 6633915.062681103)
12320,2220,5,24406,40657,123202220,437920,POINT (378827.4881471876 6333913.219373153),POINT (549273.2185291488 6633915.062681103)
12421,2220,1,16756,40657,124212220,363982,POINT (439932.1564416874 6381387.888885491),POINT (549273.2185291488 6633915.062681103)
13220,2220,63,64465,40657,132202220,157307,POINT (636661.5683717782 6578777.675353965),POINT (549273.2185291488 6633915.062681103)
13521,2220,1,3788,40657,135212220,190436,POINT (644740.8046339573 6505804.0419),POINT (549273.2185291488 6633915.062681103)
13522,2220,1,7235,40657,135222220,123183,POINT (617966.4689693986 6548396.300525547),POINT (549273.2185291488 6633915.062681103)
13621,2220,2,3698,40657,136212220,263692,POINT (718547.9604310859 6481880.546584849),POINT (549273.2185291488 6633915.062681103)
13721,2220,1,2657,40657,137212220,156864,POINT (636308.6622752602 6578614.204786568),POINT (549273.2185291488 6633915.062681103)
13824,2220,1,128,40657,138242220,204333,POINT (675112.5183811188 6516548.117300587),POINT (549273.2185291488 6633915.062681103)
13943,2220,1,240,40657,139432220,93432,POINT (594841.5170564686 6560716.544260313),POINT (549273.2185291488 6633915.062681103)
14320,2220,3,25422,40657,143202220,616200,POINT (745519.4398337225 6181462.080838162),POINT (549273.2185291488 6633915.062681103)
14521,2220,1,9675,40657,145212220,599624,POINT (828315.7510059284 6265725.536893765),POINT (549273.2185291488 6633915.062681103)
15120,2220,93,104011,40657,151202220,201278,POINT (410765.2865832467 6526683.944983927),POINT (549273.2185291488 6633915.062681103)
15721,2220,2,305,40657,157212220,120455,POINT (560995.3019698096 6549932.585458881),POINT (549273.2185291488 6633915.062681103)
15825,2220,4,138,40657,158252220,90615,POINT (534924.658690062 6566541.919026565),POINT (549273.2185291488 6633915.062681103)
15831,2220,4,210,40657,158312220,84683,POINT (574879.4711313264 6571359.572889333),POINT (549273.2185291488 6633915.062681103)
15946,2220,1,223,40657,159462220,101694,POINT (493909.8195600057 6558932.256695205),POINT (549273.2185291488 6633915.062681103)
15949,2220,1,733,40657,159492220,98051,POINT (497748.6499938965 6559607.076508036),POINT (549273.2185291488 6633915.062681103)
15970,2220,2,460,40657,159702220,147426,POINT (461347.9092695047 6532916.099578857),POINT (549273.2185291488 6633915.062681103)
15971,2220,1,101,40657,159712220,99823,POINT (529812.2040088469 6560507.912597492),POINT (549273.2185291488 6633915.062681103)
16220,2220,8,36743,40657,162202220,528540,POINT (526358.5499632334 6200292.109874669),POINT (549273.2185291488 6633915.062681103)
16824,2220,1,6870,40657,168242220,587915,POINT (549963.6031783884 6155823.292895289),POINT (549273.2185291488 6633915.062681103)
16945,2220,1,162,40657,169452220,554948,POINT (515101.6043391861 6182116.432369946),POINT (549273.2185291488 6633915.062681103)
17220,2220,2,41974,40657,172202220,434542,POINT (404000.1472399235 6319963.324545297),POINT (549273.2185291488 6633915.062681103)
18220,2220,28,54755,40657,182202220,205252,POINT (596426.0428719386 6490529.903923135),POINT (549273.2185291488 6633915.062681103)
18321,2220,4,12985,40657,183212220,342667,POINT (545108.767595 6370194.330269089),POINT (549273.2185291488 6633915.062681103)
18521,2220,1,3415,40657,185212220,324242,POINT (609634.2018876849 6391346.552827927),POINT (549273.2185291488 6633915.062681103)
18822,2220,1,160,40657,188222220,277743,POINT (619480.8672220319 6434022.521756001),POINT (549273.2185291488 6633915.062681103)
19220,2220,4,25477,40657,192202220,448534,POINT (743905.4063065499 6319913.058989554),POINT (549273.2185291488 6633915.062681103)
19521,2220,2,2341,40657,195212220,417841,POINT (692642.1942403101 6355532.125027264),POINT (549273.2185291488 6633915.062681103)
19522,2220,3,3810,40657,195222220,457286,POINT (785943.6064701986 6350748.286659464),POINT (549273.2185291488 6633915.062681103)
1020,2521,90,1304729,12200,10202521,612802,POINT (573082.2484702046 6145008.43370907),POINT (442454.6709403042 6652273.541484571)
3221,2521,1,71258,12200,32212521,599695,POINT (571815.1381244587 6157813.988089516),POINT (442454.6709403042 6652273.541484571)
3320,2521,2,19865,12200,33202521,576059,POINT (565955.6405053993 6179409.202056422),POINT (442454.6709403042 6652273.541484571)
3322,2521,2,25947,12200,33222521,617631,POINT (594619.1628683957 6157118.214678776),POINT (442454.6709403042 6652273.541484571)
3421,2521,2,16244,12200,34212521,594476,POINT (571422.0096265917 6162788.050535546),POINT (442454.6709403042 6652273.541484571)
4220,2521,3,51830,12200,42202521,484107,POINT (766475.5195453273 6415360.379009241),POINT (442454.6709403042 6652273.541484571)
5320,2521,2,26231,12200,53202521,525707,POINT (422937.9810020199 6187566.893377856),POINT (442454.6709403042 6652273.541484571)
6220,2521,14,34368,12200,62202521,467165,POINT (544395.6968756896 6306205.764611009),POINT (442454.6709403042 6652273.541484571)
8220,2521,4,33639,12200,82202521,548705,POINT (571771.8401191942 6226149.775983537),POINT (442454.6709403042 6652273.541484571)
10320,2521,5,62590,12200,103202521,716042,POINT (687553.5499826567 6136432.37380928),POINT (442454.6709403042 6652273.541484571)
11120,2521,11,76412,12200,111202521,258174,POINT (398432.2411582735 6423719.024001375),POINT (442454.6709403042 6652273.541484571)
12320,2521,1,24406,12200,123202521,376981,POINT (378827.4881471876 6333913.219373153),POINT (442454.6709403042 6652273.541484571)
13220,2521,15,64465,12200,132202521,272941,POINT (636661.5683717782 6578777.675353965),POINT (442454.6709403042 6652273.541484571)
13522,2521,3,7235,12200,135222521,238817,POINT (617966.4689693986 6548396.300525547),POINT (442454.6709403042 6652273.541484571)
15120,2521,43,104011,12200,151202521,140259,POINT (410765.2865832467 6526683.944983927),POINT (442454.6709403042 6652273.541484571)
18220,2521,3,54755,12200,182202521,299984,POINT (596426.0428719386 6490529.903923135),POINT (442454.6709403042 6652273.541484571)
18321,2521,1,12985,12200,183212521,400527,POINT (545108.767595 6370194.330269089),POINT (442454.6709403042 6652273.541484571)
3524,2521,1,6570,12200,35242521,612867,POINT (588539.0847697624 6155810.673894328),POINT (442454.6709403042 6652273.541484571)
5621,2521,1,3235,12200,56212521,527686,POINT (475431.2703850165 6199675.686454285),POINT (442454.6709403042 6652273.541484571)
9991,2521,1,38,12200,99912521,604198,POINT (654731.5651031944 6279470.021490039),POINT (442454.6709403042 6652273.541484571)
