cod,cod_ori,cod_des,poblacion_ori,poblacion_des,personas_mig,distancia_m,geom_ori,geom_des
10202220,1020,2220,1304729,40657,635,583715,POINT (573082.2484702046 6145008.43370907),POINT (549273.2185291488 6633915.062681103)
10202521,1020,2521,1304729,12200,90,612802,POINT (573082.2484702046 6145008.43370907),POINT (442454.6709403042 6652273.541484571)
10202522,1020,2522,1304729,2659,17,617076,POINT (573082.2484702046 6145008.43370907),POINT (457921.0007635859 6633361.660309175)
10202621,1020,2621,1304729,2531,9,595785,POINT (573082.2484702046 6145008.43370907),POINT (468458.2698047662 6601361.866908336)
10202724,1020,2724,1304729,935,5,617098,POINT (573082.2484702046 6145008.43370907),POINT (441913.1296071262 6657468.431151465)
10202725,1020,2725,1304729,1149,1,523352,POINT (573082.2484702046 6145008.43370907),POINT (512342.1634407969 6570709.350251653)
10202822,1020,2822,1304729,438,5,609491,POINT (573082.2484702046 6145008.43370907),POINT (442333.504504128 6648889.954611477)
10202823,1020,2823,1304729,710,1,616582,POINT (573082.2484702046 6145008.43370907),POINT (445183.1495098975 6655400.328390716)
10202828,1020,2828,1304729,2771,37,613922,POINT (573082.2484702046 6145008.43370907),POINT (443949.4314637179 6653757.962803407)
10202830,1020,2830,1304729,1642,35,580186,POINT (573082.2484702046 6145008.43370907),POINT (551872.5842944164 6632988.584310902)
10202831,1020,2831,1304729,323,3,611167,POINT (573082.2484702046 6145008.43370907),POINT (445152.770347895 6650742.238325939)
10202833,1020,2833,1304729,531,2,598901,POINT (573082.2484702046 6145008.43370907),POINT (436254.6928940434 6639532.060075869)
10202925,1020,2925,1304729,355,1,596794,POINT (573082.2484702046 6145008.43370907),POINT (440872.707006035 6638189.514998719)
10202958,1020,2958,1304729,790,16,581272,POINT (573082.2484702046 6145008.43370907),POINT (551291.1573686231 6633810.16501)
10202959,1020,2959,1304729,440,3,573845,POINT (573082.2484702046 6145008.43370907),POINT (434924.7016054307 6616311.014312164)
10202961,1020,2961,1304729,52,5,582304,POINT (573082.2484702046 6145008.43370907),POINT (550351.7378506532 6633788.131129472)
10202962,1020,2962,1304729,425,24,581838,POINT (573082.2484702046 6145008.43370907),POINT (550785.1818957435 6633811.919806076)
10202963,1020,2963,1304729,15,2,607274,POINT (573082.2484702046 6145008.43370907),POINT (440387.1879597397 6644470.483853841)
10203221,1020,3221,1304729,71258,2066,14321,POINT (573082.2484702046 6145008.43370907),POINT (571815.1381244587 6157813.988089516)
10203320,1020,3320,1304729,19865,279,36942,POINT (573082.2484702046 6145008.43370907),POINT (565955.6405053993 6179409.202056422)
10203321,1020,3321,1304729,20524,1102,9878,POINT (573082.2484702046 6145008.43370907),POINT (570666.0469444469 6153926.677853951)
10203322,1020,3322,1304729,25947,680,26841,POINT (573082.2484702046 6145008.43370907),POINT (594619.1628683957 6157118.214678776)
10203323,1020,3323,1304729,16742,276,49177,POINT (573082.2484702046 6145008.43370907),POINT (556468.9904573727 6186643.790688833)
10203324,1020,3324,1304729,132,1,62842,POINT (573082.2484702046 6145008.43370907),POINT (628386.5416317044 6163016.017504326)
10203325,1020,3325,1304729,32,14,27825,POINT (573082.2484702046 6145008.43370907),POINT (595380.3560949161 6152857.774867376)
10203326,1020,3326,1304729,68,25,22772,POINT (573082.2484702046 6145008.43370907),POINT (592502.1593696275 6146538.323417988)
10203329,1020,3329,1304729,54,1,28112,POINT (573082.2484702046 6145008.43370907),POINT (558141.8063202428 6163365.984764816)
10203421,1020,3421,1304729,16244,493,19940,POINT (573082.2484702046 6145008.43370907),POINT (571422.0096265917 6162788.050535546)
10203422,1020,3422,1304729,7133,153,70782,POINT (573082.2484702046 6145008.43370907),POINT (596125.5232531353 6204942.494705392)
10203521,1020,3521,1304729,31650,1624,22603,POINT (573082.2484702046 6145008.43370907),POINT (591966.3938865843 6153953.745800025)
10203523,1020,3523,1304729,9624,598,19478,POINT (573082.2484702046 6145008.43370907),POINT (589348.7665842462 6146607.870809368)
10203524,1020,3524,1304729,6570,293,20853,POINT (573082.2484702046 6145008.43370907),POINT (588539.0847697624 6155810.673894328)
10203525,1020,3525,1304729,15908,1498,16987,POINT (573082.2484702046 6145008.43370907),POINT (587580.4026155119 6142292.506456386)
10203526,1020,3526,1304729,3727,68,44198,POINT (573082.2484702046 6145008.43370907),POINT (588221.5369427514 6182184.812525066)
10203527,1020,3527,1304729,6132,174,25760,POINT (573082.2484702046 6145008.43370907),POINT (585749.3500300343 6165158.817215529)
10203528,1020,3528,1304729,5089,94,70482,POINT (573082.2484702046 6145008.43370907),POINT (613552.196983618 6199089.643285227)
10203529,1020,3529,1304729,9813,561,15296,POINT (573082.2484702046 6145008.43370907),POINT (581666.5330796808 6155860.788957479)
10203530,1020,3530,1304729,9295,639,15973,POINT (573082.2484702046 6145008.43370907),POINT (584784.9533532592 6153308.175826177)
10203621,1020,3621,1304729,5562,508,45635,POINT (573082.2484702046 6145008.43370907),POINT (613631.1844891007 6152548.397836315)
10203622,1020,3622,1304729,2274,27,47203,POINT (573082.2484702046 6145008.43370907),POINT (613298.7164033854 6154908.510716558)
10203624,1020,3624,1304729,2508,31,30953,POINT (573082.2484702046 6145008.43370907),POINT (558431.9420450316 6170250.813025981)
10203625,1020,3625,1304729,4199,44,34687,POINT (573082.2484702046 6145008.43370907),POINT (601052.3176080562 6160549.431027164)
10203626,1020,3626,1304729,2109,9,71265,POINT (573082.2484702046 6145008.43370907),POINT (626030.6681406683 6182973.098576432)
10203627,1020,3627,1304729,7896,1102,49463,POINT (573082.2484702046 6145008.43370907),POINT (617414.9151842656 6153379.514554303)
10203628,1020,3628,1304729,1973,33,54513,POINT (573082.2484702046 6145008.43370907),POINT (595365.9654325242 6188588.491647155)
10203629,1020,3629,1304729,4510,78,45449,POINT (573082.2484702046 6145008.43370907),POINT (603515.0794459877 6176937.376359992)
10203630,1020,3630,1304729,1797,47,52417,POINT (573082.2484702046 6145008.43370907),POINT (618893.624235 6161139.195584168)
10203631,1020,3631,1304729,4397,211,15517,POINT (573082.2484702046 6145008.43370907),POINT (583281.2078731833 6155365.628785741)
10203632,1020,3632,1304729,1760,24,75856,POINT (573082.2484702046 6145008.43370907),POINT (631787.319432134 6181837.812930707)
10203633,1020,3633,1304729,7288,823,22096,POINT (573082.2484702046 6145008.43370907),POINT (591984.3794686475 6144145.517866863)
10203634,1020,3634,1304729,1513,66,20380,POINT (573082.2484702046 6145008.43370907),POINT (586949.2737275558 6158075.328618946)
10203721,1020,3721,1304729,1047,14,43175,POINT (573082.2484702046 6145008.43370907),POINT (555806.777572514 6179942.837943138)
10203722,1020,3722,1304729,5410,1101,18563,POINT (573082.2484702046 6145008.43370907),POINT (588945.2741632864 6140931.036368545)
10203723,1020,3723,1304729,1305,20,29436,POINT (573082.2484702046 6145008.43370907),POINT (568442.8092429305 6171555.879830467)
10203724,1020,3724,1304729,1595,181,52467,POINT (573082.2484702046 6145008.43370907),POINT (620281.121861429 6154016.770889904)
10203725,1020,3725,1304729,1313,19,53906,POINT (573082.2484702046 6145008.43370907),POINT (620528.2217711881 6155649.288485756)
10203726,1020,3726,1304729,3146,348,47505,POINT (573082.2484702046 6145008.43370907),POINT (615284.5327110477 6152046.642035916)
10203727,1020,3727,1304729,8628,1187,20792,POINT (573082.2484702046 6145008.43370907),POINT (590657.5221295444 6142366.791488993)
10203729,1020,3729,1304729,8626,1143,37756,POINT (573082.2484702046 6145008.43370907),POINT (606133.0393047305 6151327.95857721)
10203730,1020,3730,1304729,1489,32,47844,POINT (573082.2484702046 6145008.43370907),POINT (584281.6761985368 6187505.922711753)
10203731,1020,3731,1304729,90,2,20485,POINT (573082.2484702046 6145008.43370907),POINT (588498.5062375932 6145025.705613431)
10203732,1020,3732,1304729,18573,2596,25034,POINT (573082.2484702046 6145008.43370907),POINT (594448.8143284387 6145604.621110858)
10203733,1020,3733,1304729,4307,220,23220,POINT (573082.2484702046 6145008.43370907),POINT (591970.5366392424 6149665.033790103)
10203823,1020,3823,1304729,520,11,61687,POINT (573082.2484702046 6145008.43370907),POINT (596463.0002947818 6195333.756846586)
10203825,1020,3825,1304729,826,31,11906,POINT (573082.2484702046 6145008.43370907),POINT (569401.3258721897 6154048.829699416)
10203826,1020,3826,1304729,965,112,55844,POINT (573082.2484702046 6145008.43370907),POINT (622696.1896262862 6152301.644846186)
10203827,1020,3827,1304729,550,26,10248,POINT (573082.2484702046 6145008.43370907),POINT (569715.7065325114 6153283.569936877)
10203828,1020,3828,1304729,21091,2688,31359,POINT (573082.2484702046 6145008.43370907),POINT (600169.0660007594 6149058.795812866)
10203829,1020,3829,1304729,144,3,71146,POINT (573082.2484702046 6145008.43370907),POINT (626179.4827720223 6178844.288395025)
10203830,1020,3830,1304729,4724,779,36571,POINT (573082.2484702046 6145008.43370907),POINT (604677.5426081594 6151288.533430437)
10203831,1020,3831,1304729,8066,947,23195,POINT (573082.2484702046 6145008.43370907),POINT (592717.6448864141 6144709.386422962)
10203832,1020,3832,1304729,662,11,31519,POINT (573082.2484702046 6145008.43370907),POINT (598058.7889935098 6159708.232836992)
10203833,1020,3833,1304729,409,3,25997,POINT (573082.2484702046 6145008.43370907),POINT (567772.9825060242 6168817.885356816)
10203834,1020,3834,1304729,1878,201,62751,POINT (573082.2484702046 6145008.43370907),POINT (629443.8693322215 6151440.066424618)
10203835,1020,3835,1304729,3195,438,21639,POINT (573082.2484702046 6145008.43370907),POINT (591620.7168567854 6143542.296321873)
10203836,1020,3836,1304729,746,19,28088,POINT (573082.2484702046 6145008.43370907),POINT (592291.2076629534 6164023.48643144)
10203837,1020,3837,1304729,1344,61,23276,POINT (573082.2484702046 6145008.43370907),POINT (569594.020546787 6166324.969306257)
10203838,1020,3838,1304729,542,11,11147,POINT (573082.2484702046 6145008.43370907),POINT (570067.6732292763 6154600.070534443)
10203839,1020,3839,1304729,1419,91,18637,POINT (573082.2484702046 6145008.43370907),POINT (584783.0303396771 6157970.427084215)
10203840,1020,3840,1304729,213,4,54857,POINT (573082.2484702046 6145008.43370907),POINT (614536.1540916616 6174346.647538723)
10203880,1020,3880,1304729,242,10,20059,POINT (573082.2484702046 6145008.43370907),POINT (586402.6993247204 6158688.276669174)
10203881,1020,3881,1304729,235,11,20526,POINT (573082.2484702046 6145008.43370907),POINT (586720.1272196478 6158643.759902542)
10203882,1020,3882,1304729,147,4,48388,POINT (573082.2484702046 6145008.43370907),POINT (566034.1512621605 6190036.024761727)
10203910,1020,3910,1304729,1104,87,44499,POINT (573082.2484702046 6145008.43370907),POINT (612311.7367857948 6152860.883868587)
10203911,1020,3911,1304729,456,6,28905,POINT (573082.2484702046 6145008.43370907),POINT (594722.7679076984 6159593.598932348)
10203912,1020,3912,1304729,770,28,28206,POINT (573082.2484702046 6145008.43370907),POINT (594281.2697891276 6160378.403505641)
10203913,1020,3913,1304729,756,2,29436,POINT (573082.2484702046 6145008.43370907),POINT (594770.6703615838 6161351.139415748)
10203914,1020,3914,1304729,333,2,40115,POINT (573082.2484702046 6145008.43370907),POINT (565792.2202280801 6182676.398381736)
10203921,1020,3921,1304729,152,24,65664,POINT (573082.2484702046 6145008.43370907),POINT (632324.0794753798 6150208.015749946)
10203922,1020,3922,1304729,68,10,76463,POINT (573082.2484702046 6145008.43370907),POINT (642038.6164863714 6149597.154459778)
10203925,1020,3925,1304729,416,45,57209,POINT (573082.2484702046 6145008.43370907),POINT (623969.0512574608 6152132.575679986)
10203926,1020,3926,1304729,57,1,69098,POINT (573082.2484702046 6145008.43370907),POINT (635752.7251938946 6149028.899217759)
10203927,1020,3927,1304729,139,1,85762,POINT (573082.2484702046 6145008.43370907),POINT (617089.5143415597 6212417.022376345)
10203928,1020,3928,1304729,299,5,35038,POINT (573082.2484702046 6145008.43370907),POINT (555814.510405118 6173415.370512727)
10203929,1020,3929,1304729,119,6,70280,POINT (573082.2484702046 6145008.43370907),POINT (635612.3902673702 6159328.758355368)
10203934,1020,3934,1304729,279,6,32022,POINT (573082.2484702046 6145008.43370907),POINT (595225.5907610066 6167070.031803057)
10203935,1020,3935,1304729,527,59,71154,POINT (573082.2484702046 6145008.43370907),POINT (637503.2407504255 6149156.291211568)
10203939,1020,3939,1304729,988,137,24452,POINT (573082.2484702046 6145008.43370907),POINT (593950.5362931939 6144386.400718588)
10203943,1020,3943,1304729,296,35,41544,POINT (573082.2484702046 6145008.43370907),POINT (609753.6911275582 6151497.686455321)
10203944,1020,3944,1304729,145,4,22597,POINT (573082.2484702046 6145008.43370907),POINT (569143.9129285392 6166001.158142798)
10203945,1020,3945,1304729,183,16,24532,POINT (573082.2484702046 6145008.43370907),POINT (568474.3237624725 6167769.927780378)
10203946,1020,3946,1304729,458,49,77587,POINT (573082.2484702046 6145008.43370907),POINT (644160.5072340987 6150161.294213315)
10203948,1020,3948,1304729,492,10,12112,POINT (573082.2484702046 6145008.43370907),POINT (569361.4176917395 6154718.882945733)
10203949,1020,3949,1304729,396,7,37493,POINT (573082.2484702046 6145008.43370907),POINT (602499.5587471463 6157456.232132213)
10203953,1020,3953,1304729,19124,2652,28013,POINT (573082.2484702046 6145008.43370907),POINT (596929.5701792388 6146904.617905139)
10203956,1020,3956,1304729,153,11,64562,POINT (573082.2484702046 6145008.43370907),POINT (631149.3805777847 6150520.100452561)
10203957,1020,3957,1304729,3543,576,39661,POINT (573082.2484702046 6145008.43370907),POINT (607827.9064643878 6151493.476358996)
10203959,1020,3959,1304729,4774,784,34570,POINT (573082.2484702046 6145008.43370907),POINT (602406.298967989 6151091.891304309)
10203962,1020,3962,1304729,142,1,47216,POINT (573082.2484702046 6145008.43370907),POINT (577958.5745796759 6188551.914193326)
10203968,1020,3968,1304729,332,4,34935,POINT (573082.2484702046 6145008.43370907),POINT (602322.1743674144 6159544.213518154)
10203969,1020,3969,1304729,91,2,70985,POINT (573082.2484702046 6145008.43370907),POINT (635630.2856860738 6154621.481030578)
10203970,1020,3970,1304729,192,19,72747,POINT (573082.2484702046 6145008.43370907),POINT (638592.1902871204 6149328.720133289)
10203974,1020,3974,1304729,273,32,75315,POINT (573082.2484702046 6145008.43370907),POINT (640255.2847550659 6149503.651079448)
10203975,1020,3975,1304729,286,24,67699,POINT (573082.2484702046 6145008.43370907),POINT (633900.0841207907 6149390.273957109)
10203978,1020,3978,1304729,622,38,19263,POINT (573082.2484702046 6145008.43370907),POINT (585274.682099163 6158360.627233653)
