CCOMP96,CCOMP04,REG96A04,MODIF96A04,CODLOC_96,CODLOC_04
1001013001,1001013001,0,SIN MODIFICACION,10320,10320
1001013002,1001013002,0,SIN MODIFICACION,10320,10320
1001013003,1001013003,0,SIN MODIFICACION,10320,10320
1001013004,1001013004,0,SIN MODIFICACION,10320,10320
1001013005,1001013005,0,SIN MODIFICACION,10320,10320
1001013006,1001013006,0,SIN MODIFICACION,10320,10320
1001013007,1001013007,0,SIN MODIFICACION,10320,10320
1001013008,1001013008,0,SIN MODIFICACION,10320,10320
1001013009,1001013009,0,SIN MODIFICACION,10320,10320
1001013010,1001013010,0,SIN MODIFICACION,10320,10320
1001013011,1001013011,0,SIN MODIFICACION,10320,10320
1001013012,1001013012,0,SIN MODIFICACION,10320,10320
1001013013,1001013013,0,SIN MODIFICACION,10320,10320
1001013014,1001013014,0,SIN MODIFICACION,10320,10320
1001013015,1001013015,0,SIN MODIFICACION,10320,10320
1001013016,1001013016,0,SIN MODIFICACION,10320,10320
1001013017,1001013017,0,SIN MODIFICACION,10320,10320
1001013018,1001013018,0,SIN MODIFICACION,10320,10320
1001014001,1001014001,0,SIN MODIFICACION,10320,10320
1001014002,1001014002,0,SIN MODIFICACION,10320,10320
1001014003,1001014003,0,SIN MODIFICACION,10320,10320
1001014004,1001014004,0,SIN MODIFICACION,10320,10320
1001014005,1001014005,0,SIN MODIFICACION,10320,10320
1001014006,1001014006,0,SIN MODIFICACION,10320,10320
1001014007,1001014007,0,SIN MODIFICACION,10320,10320
1001014008,1001014008,0,SIN MODIFICACION,10320,10320
1001014009,1001014009,0,SIN MODIFICACION,10320,10320
1001014010,1001014010,0,SIN MODIFICACION,10320,10320
1001014011,1001014011,0,SIN MODIFICACION,10320,10320
1001014012,1001014012,0,SIN MODIFICACION,10320,10320
1001014013,1001014013,0,SIN MODIFICACION,10320,10320
1001014014,1001014014,0,SIN MODIFICACION,10320,10320
1001014015,1001014015,0,SIN MODIFICACION,10320,10320
1001018001,1001018001,0,SIN MODIFICACION,10320,10320
1001018002,1001018002,0,SIN MODIFICACION,10320,10320
1001018003,1001018003,0,SIN MODIFICACION,10320,10320
1001018004,1001018004,0,SIN MODIFICACION,10320,10320
1001018005,1001018005,0,SIN MODIFICACION,10320,10320
1001018006,1001018006,0,SIN MODIFICACION,10320,10320
1001018007,1001018007,0,SIN MODIFICACION,10320,10320
1001018008,1001018008,0,SIN MODIFICACION,10320,10320
1001018009,1001018009,0,SIN MODIFICACION,10320,10320
1001018010,1001018010,0,SIN MODIFICACION,10320,10320
1001018011,1001018011,0,SIN MODIFICACION,10320,10320
1001018012,1001018012,0,SIN MODIFICACION,10320,10320
1001018013,1001018013,0,SIN MODIFICACION,10320,10320
1001018014,1001018014,0,SIN MODIFICACION,10320,10320
1001018015,1001018015,0,SIN MODIFICACION,10320,10320
1001018500,1001018500,0,SIN MODIFICACION,10320,10320
1001018501,1001018501,0,SIN MODIFICACION,10320,10320
1001018502,1001018502,0,SIN MODIFICACION,10320,10320
1001019001,1001019001,0,SIN MODIFICACION,10320,10320
1001019002,1001019002,0,SIN MODIFICACION,10320,10320
1001019003,1001019003,0,SIN MODIFICACION,10320,10320
1001019004,1001019004,0,SIN MODIFICACION,10320,10320
1001019005,1001019005,0,SIN MODIFICACION,10320,10320
1001019006,1001019006,0,SIN MODIFICACION,10320,10320
1001019007,1001019007,0,SIN MODIFICACION,10320,10320
1001019008,1001019008,0,SIN MODIFICACION,10320,10320
1001019009,1001019009,0,SIN MODIFICACION,10320,10320
1001019010,1001019010,0,SIN MODIFICACION,10320,10320
1001019011,1001019011,0,SIN MODIFICACION,10320,10320
1001019012,1001019012,0,SIN MODIFICACION,10320,10320
1001019013,1001019013,0,SIN MODIFICACION,10320,10320
1001019014,1001019014,0,SIN MODIFICACION,10320,10320
1001019015,1001019015,0,SIN MODIFICACION,10320,10320
1001021001,1001021001,0,SIN MODIFICACION,10320,10320
1001021002,1001021002,0,SIN MODIFICACION,10320,10320
1001021003,1001021003,0,SIN MODIFICACION,10320,10320
1001021004,1001021004,0,SIN MODIFICACION,10320,10320
1001021005,1001021005,0,SIN MODIFICACION,10320,10320
1001021006,1001021006,0,SIN MODIFICACION,10320,10320
1001021007,1001021007,0,SIN MODIFICACION,10320,10320
1001021008,1001021008,0,SIN MODIFICACION,10320,10320
1001021009,1001021009,0,SIN MODIFICACION,10320,10320
1001021010,1001021010,0,SIN MODIFICACION,10320,10320
1001021011,1001021011,0,SIN MODIFICACION,10320,10320
1001021012,1001021012,0,SIN MODIFICACION,10320,10320
1001021013,1001021013,0,SIN MODIFICACION,10320,10320
1001021014,1001021014,0,SIN MODIFICACION,10320,10320
1001021015,1001021015,0,SIN MODIFICACION,10320,10320
1001022001,1001022001,0,SIN MODIFICACION,10320,10320
1001022002,1001022002,0,SIN MODIFICACION,10320,10320
1001022003,1001022003,0,SIN MODIFICACION,10320,10320
1001022004,1001022004,0,SIN MODIFICACION,10320,10320
1001022005,1001022005,0,SIN MODIFICACION,10320,10320
1001022006,1001022006,0,SIN MODIFICACION,10320,10320
1001022007,1001022007,0,SIN MODIFICACION,10320,10320
1001022008,1001022008,0,SIN MODIFICACION,10320,10320
1001022009,1001022009,0,SIN MODIFICACION,10320,10320
1001022010,1001022010,0,SIN MODIFICACION,10320,10320
1001022011,1001022011,0,SIN MODIFICACION,10320,10320
1001022012,1001022012,0,SIN MODIFICACION,10320,10320
1001022013,1001022013,0,SIN MODIFICACION,10320,10320
1001022014,1001022014,0,SIN MODIFICACION,10320,10320
1001022015,1001022015,0,SIN MODIFICACION,10320,10320
1001022400,1001022400,0,SIN MODIFICACION,10320,10320
1001022500,1001022500,0,SIN MODIFICACION,10320,10320
1001022501,1001022501,0,SIN MODIFICACION,10320,10320
1001023001,1001023001,0,SIN MODIFICACION,10320,10320
1001023002,1001023002,0,SIN MODIFICACION,10320,10320
1001023003,1001023003,0,SIN MODIFICACION,10320,10320
1001023004,1001023004,0,SIN MODIFICACION,10320,10320
1001023005,1001023005,0,SIN MODIFICACION,10320,10320
1001023006,1001023006,0,SIN MODIFICACION,10320,10320
1001023007,1001023007,0,SIN MODIFICACION,10320,10320
1001023008,1001023008,0,SIN MODIFICACION,10320,10320
1001023009,1001023009,0,SIN MODIFICACION,10320,10320
1001023010,1001023010,0,SIN MODIFICACION,10320,10320
1001023011,1001023011,0,SIN MODIFICACION,10320,10320
1001023012,1001023012,0,SIN MODIFICACION,10320,10320
1001023013,1001023013,0,SIN MODIFICACION,10320,10320
1001023014,1001023014,0,SIN MODIFICACION,10320,10320
1001023015,1001023015,0,SIN MODIFICACION,10320,10320
1001023500,1001023500,0,SIN MODIFICACION,10320,10320
1001023501,1001023501,0,SIN MODIFICACION,10320,10320
1001023502,1001023502,0,SIN MODIFICACION,10320,10320
