CCOMP96,CCOMP04,REG96A04,MODIF96A04
101001001,101001001,0,SIN MODIFICACION
101001003,101001003,0,SIN MODIFICACION
101001004,101001004,0,SIN MODIFICACION
101001005,101001005,0,SIN MODIFICACION
101001007,101001007,0,SIN MODIFICACION
101001008,101001008,0,SIN MODIFICACION
101001009,101001009,0,SIN MODIFICACION
101001010,101001010,0,SIN MODIFICACION
101001011,101001011,0,SIN MODIFICACION
101001012,101001012,0,SIN MODIFICACION
101002003,101002003,0,SIN MODIFICACION
101002004,101002004,0,SIN MODIFICACION
101002005,101002005,0,SIN MODIFICACION
101002006,101002006,0,SIN MODIFICACION
101002007,101002007,0,SIN MODIFICACION
101002008,101002008,0,SIN MODIFICACION
101002009,101002009,0,SIN MODIFICACION
101002010,101002010,0,SIN MODIFICACION
101002011,101002011,0,SIN MODIFICACION
101002012,101002012,0,SIN MODIFICACION
101002013,101002013,0,SIN MODIFICACION
101002014,101002014,0,SIN MODIFICACION
101002015,101002015,0,SIN MODIFICACION
101003001,101003001,0,SIN MODIFICACION
101003002,101003002,0,SIN MODIFICACION
101003003,101003003,0,SIN MODIFICACION
101003004,101003004,0,SIN MODIFICACION
101003005,101003005,0,SIN MODIFICACION
101003006,101003006,0,SIN MODIFICACION
101003007,101003007,0,SIN MODIFICACION
101003008,101003008,0,SIN MODIFICACION
101003010,101003010,0,SIN MODIFICACION
101003011,101003011,0,SIN MODIFICACION
101003012,101003012,0,SIN MODIFICACION
101003013,101003013,0,SIN MODIFICACION
101003009,101003800,1,PARTICION
101003009,101003801,1,PARTICION
101104001,101104001,0,SIN MODIFICACION
101104002,101104002,0,SIN MODIFICACION
101104006,101104006,0,SIN MODIFICACION
101104007,101104007,0,SIN MODIFICACION
101104008,101104008,0,SIN MODIFICACION
101105001,101105001,0,SIN MODIFICACION
101105002,101105002,0,SIN MODIFICACION
101105006,101105006,0,SIN MODIFICACION
101105007,101105007,0,SIN MODIFICACION
101204003,101204003,0,SIN MODIFICACION
101204004,101204004,0,SIN MODIFICACION
101204005,101204005,0,SIN MODIFICACION
101204009,101204009,0,SIN MODIFICACION
101204010,101204010,0,SIN MODIFICACION
101205003,101205003,0,SIN MODIFICACION
101205004,101205004,0,SIN MODIFICACION
101205005,101205005,0,SIN MODIFICACION
101205008,101205008,0,SIN MODIFICACION
101205009,101205009,0,SIN MODIFICACION
101205010,101205010,0,SIN MODIFICACION
101205500,101205500,0,SIN MODIFICACION
102001001,102001001,0,SIN MODIFICACION
102001002,102001002,0,SIN MODIFICACION
102001003,102001003,0,SIN MODIFICACION
102001004,102001004,0,SIN MODIFICACION
102001005,102001005,0,SIN MODIFICACION
102001006,102001006,0,SIN MODIFICACION
102001007,102001007,0,SIN MODIFICACION
102001008,102001008,0,SIN MODIFICACION
102001009,102001009,0,SIN MODIFICACION
102001010,102001010,0,SIN MODIFICACION
102001011,102001011,0,SIN MODIFICACION
102001012,102001012,0,SIN MODIFICACION
102001500,102001500,0,SIN MODIFICACION
102003001,102003001,0,SIN MODIFICACION
102003002,102003002,0,SIN MODIFICACION
102003003,102003003,0,SIN MODIFICACION
102003004,102003004,0,SIN MODIFICACION
102003005,102003005,0,SIN MODIFICACION
102003006,102003006,0,SIN MODIFICACION
102003007,102003007,0,SIN MODIFICACION
102003008,102003008,0,SIN MODIFICACION
102003009,102003009,0,SIN MODIFICACION
102003010,102003010,0,SIN MODIFICACION
102003011,102003011,0,SIN MODIFICACION
102004001,102004001,0,SIN MODIFICACION
102004002,102004002,0,SIN MODIFICACION
102004003,102004003,0,SIN MODIFICACION
102004004,102004004,0,SIN MODIFICACION
102004005,102004005,0,SIN MODIFICACION
102004006,102004006,0,SIN MODIFICACION
102004007,102004007,0,SIN MODIFICACION
102004008,102004008,0,SIN MODIFICACION
102102001,102102001,0,SIN MODIFICACION
102102002,102102002,0,SIN MODIFICACION
102102003,102102003,0,SIN MODIFICACION
102102004,102102004,0,SIN MODIFICACION
102102005,102102005,0,SIN MODIFICACION
102102006,102102006,0,SIN MODIFICACION
102102007,102102007,0,SIN MODIFICACION
102102008,102102008,0,SIN MODIFICACION
