"Indicador: Participación departamental en la actividad económica (%)"
"Dimensión/es:  /Actividad económica y productiva"
"Sub dimensión/es:  /Actividad económica y productiva"
"Año: 2018"

;Total
Montevideo;49,06880609
Artigas;1,499223281
Canelones;10,51550963
"Cerro Largo";1,886395833
Colonia;4,943701085
Durazno;1,54185403
Flores;0,802809959
Florida;1,956979265
Lavalleja;1,603818719
Maldonado;5,67355877
Paysandú;2,663992495
"Río Negro";2,602046173
Rivera;2,093501632
Rocha;1,933131021
Salto;2,662575591
"San José";3,051419788
Soriano;2,161938261
Tacuarembó;2,109662827
"Treinta y Tres";1,229075552
"Total País";100


"Fuente: Observatorio Territorio Uruguay - OPP en base a diversas fuentes"
"Base:  No existe información asociada. Observaciones: 2015-2018 datos preliminares."
