CCOMP96,CCOMP04,REG96A04,codcomp,personas
101003009,101003800,1,101003009,44
107205004,107205500,1,107205004,40
108002001,108002400,1,108002001,113
108002006,108002401,1,108002006,6
108008003,108008800,1,108008003,8
109004005,109004400,1,109004005,38
109007003,109007803,1,109007003,44
109012002,109012400,1,109012002,58
109018001,109018014,1,109018001,114
109018005,109018500,1,109018005,16
109018007,109018008,1,109018007,93
109019004,109019005,1,109019004,23
109022005,109022010,1,109022005,52
109024004,109024004,1,109024004,67
109025004,109025800,1,109025004,107
109026005,109026011,1,109026005,76
109026007,109026021,1,109026007,131
109026008,109026016,1,109026008,20
109027002,109027802,1,109027002,148
109027006,109027800,1,109027006,140
109030006,109030802,1,109030006,156
109030007,109030800,1,109030007,164
109031001,109031800,1,109031001,97
109031002,109031802,1,109031002,183
109033018,109033800,1,109033018,72
109034004,109034800,1,109034004,45
109034016,109034016,1,109034016,59
109044002,109044017,1,109044002,0
109046008,109046024,1,109046008,24
109046014,109046023,1,109046014,35
109047001,109047406,1,109047001,48
109047003,109047003,1,109047003,60
109047005,109047016,1,109047005,31
109047006,109047006,1,109047006,50
109047011,109047836,1,109047011,41
109047014,109047838,1,109047014,71
109048005,109048006,1,109048005,2
109052002,109052800,1,109052002,86
109052007,109052012,1,109052007,67
109054001,109054003,1,109054001,71
109055003,109055024,1,109055003,10
109055019,109055046,1,109055019,60
109056013,109056800,1,109056013,48
109056015,109056802,1,109056015,185
109057006,109057800,1,109057006,142
109117037,109117043,1,109117037,45
109117038,109117071,1,109117038,58
109117039,109117067,1,109117039,20
109217001,109217037,1,109217001,68
109217013,109217039,1,109217013,54
110009012,110009013,1,110009012,388
110040001,110040017,1,110040001,34
110047001,110047007,1,110047001,3
110051005,110051021,1,110051005,46
110055002,110055015,1,110055002,28
110055003,110055016,1,110055003,52
110056010,110056022,1,110056010,77
110056017,110056018,1,110056017,58
110058004,110058016,1,110058004,39
110072001,110072015,1,110072001,32
110074001,110074011,1,110074001,30
110076013,110076021,1,110076013,13
110077001,110077033,1,110077001,32
110077003,110077035,1,110077003,3
110077010,110077026,1,110077010,6
110077011,110077028,1,110077011,31
110077012,110077014,1,110077012,17
110078001,110078013,1,110078001,74
110078007,110078007,1,110078007,3
110078010,110078016,1,110078010,25
110119015,110119018,1,110119015,23
110120011,110120013,1,110120011,56
110125005,110125500,1,110125005,232
110128007,110128047,1,110128007,54
110128027,110128053,1,110128027,60
110128028,110128057,1,110128028,100
110128029,110128059,1,110128029,69
110128030,110128062,1,110128030,30
110128031,110128064,1,110128031,89
110128034,110128040,1,110128034,44
110128038,110128038,1,110128038,68
110129005,110129008,1,110129005,15
110137001,110137009,1,110137001,80
110138009,110138055,1,110138009,126
110138053,110138053,1,110138053,48
110139007,110139019,1,110139007,194
110149006,110149024,1,110149006,65
110149007,110149025,1,110149007,121
110149011,110149500,1,110149011,42
110207009,110207800,1,110207009,156
110207010,110207801,1,110207010,67
110217007,110217018,1,110217007,111
110218012,110218800,1,110218012,79
110218014,110218016,1,110218014,136
110220013,110220018,1,110220013,480
110228017,110228028,1,110228017,53
110238048,110238053,1,110238048,42
110238050,110238056,1,110238050,10
110239015,110239800,1,110239015,270
110249019,110249028,1,110249019,76
110249021,110249030,1,110249021,88
110268005,110268035,1,110268005,78
110268033,110268033,1,110268033,18
110319011,110319012,1,110319011,626
110320014,110320800,1,110320014,656
110328012,110328036,1,110328012,45
110328013,110328040,1,110328013,29
110419012,110419013,1,110419012,810
110438039,110438040,1,110438039,164
110519016,110519800,1,110519016,797
111001004,111001800,1,111001004,28
