,cod,depto_origen,nom_depto_orig,depto_destino,nom_depto_des,personas_mig,pbi_origen,pob_origen,pbi_destino,pob_destino,dist,log_pbi_destino,log_dist
0,102,1,MONTEVIDEO,2,ARTIGAS,914,465848031,1318755,14214980,73377,610726,16.469806896101773,13.322403692400275
1,302,3,CANELONES,2,ARTIGAS,74,86306492,520173,14214980,73377,601916,16.469806896101773,13.30787317967134
2,402,4,CERRO LARGO,2,ARTIGAS,15,17048887,84698,14214980,73377,406722,16.469806896101773,12.91588518435902
3,502,5,COLONIA,2,ARTIGAS,28,43788749,123203,14214980,73377,556293,16.469806896101773,13.229050412845622
4,602,6,DURAZNO,2,ARTIGAS,32,13023942,57084,14214980,73377,446276,16.469806896101773,13.008692873684067
5,702,7,FLORES,2,ARTIGAS,2,7284124,25050,14214980,73377,450737,16.469806896101773,13.018639299828806
6,802,8,FLORIDA,2,ARTIGAS,13,17767290,67047,14214980,73377,533821,16.469806896101773,13.187815855755735
7,902,9,LAVALLEJA,2,ARTIGAS,7,15594153,58815,14214980,73377,593134,16.469806896101773,13.293175622098437
8,1002,10,MALDONADO,2,ARTIGAS,46,51311595,164298,14214980,73377,658957,16.469806896101773,13.398413560976383
9,1102,11,PAYSANDU,2,ARTIGAS,75,26828524,113107,14214980,73377,304612,16.469806896101773,12.626794114596287
10,1202,12,RIO NEGRO,2,ARTIGAS,30,24297744,54765,14214980,73377,380386,16.469806896101773,12.848941805611233
11,1302,13,RIVERA,2,ARTIGAS,102,20212707,103473,14214980,73377,165845,16.469806896101773,12.0188088961969
12,1402,14,ROCHA,2,ARTIGAS,8,17547856,68088,14214980,73377,623208,16.469806896101773,13.342635610426758
13,1502,15,SALTO,2,ARTIGAS,380,25542275,124861,14214980,73377,184479,16.469806896101773,12.12529091484639
14,1602,16,SAN JOSE,2,ARTIGAS,15,26930981,108304,14214980,73377,570263,16.469806896101773,13.253852936905638
15,1702,17,SORIANO,2,ARTIGAS,9,22993631,82594,14214980,73377,447321,16.469806896101773,13.011031736675708
16,1802,18,TACUAREMBO,2,ARTIGAS,50,18093592,90051,14214980,73377,254949,16.469806896101773,12.448818804137897
17,1902,19,TREINTA Y TRES,2,ARTIGAS,10,11720592,48134,14214980,73377,481308,16.469806896101773,13.084262676802762
18,103,1,MONTEVIDEO,3,CANELONES,33127,465848031,1318755,86306492,520173,22530,18.273415379180292,10.02260303342629
19,203,2,ARTIGAS,3,CANELONES,536,14214980,73377,86306492,520173,601915,18.273415379180292,13.307871518308573
20,403,4,CERRO LARGO,3,CANELONES,435,17048887,84698,86306492,520173,371156,18.273415379180292,12.824377738385657
21,503,5,COLONIA,3,CANELONES,366,43788749,123203,86306492,520173,189990,18.273415379180292,12.154726718178585
22,603,6,DURAZNO,3,CANELONES,466,13023942,57084,86306492,520173,190159,18.273415379180292,12.155615843290757
23,703,7,FLORES,3,CANELONES,162,7284124,25050,86306492,520173,174329,18.273415379180292,12.068699597473461
24,803,8,FLORIDA,3,CANELONES,892,17767290,67047,86306492,520173,88131,18.273415379180292,11.386579622903268
25,903,9,LAVALLEJA,3,CANELONES,446,15594153,58815,86306492,520173,114784,18.273415379180292,11.65080738033201
26,1003,10,MALDONADO,3,CANELONES,862,51311595,164298,86306492,520173,113977,18.273415379180292,11.643751952635514
27,1103,11,PAYSANDU,3,CANELONES,434,26828524,113107,86306492,520173,360013,18.273415379180292,12.793895420891413
28,1203,12,RIO NEGRO,3,CANELONES,316,24297744,54765,86306492,520173,313198,18.273415379180292,12.654590857382356
29,1303,13,RIVERA,3,CANELONES,584,20212707,103473,86306492,520173,494736,18.273415379180292,13.111779565944683
30,1403,14,ROCHA,3,CANELONES,407,17547856,68088,86306492,520173,232416,18.273415379180292,12.356284148405894
31,1503,15,SALTO,3,CANELONES,543,25542275,124861,86306492,520173,478975,18.273415379180292,13.079403682964193
32,1603,16,SAN JOSE,3,CANELONES,689,26930981,108304,86306492,520173,82580,18.273415379180292,11.321522799440082
33,1703,17,SORIANO,3,CANELONES,293,22993631,82594,86306492,520173,255117,18.273415379180292,12.449477542442645
34,1803,18,TACUAREMBO,3,CANELONES,596,18093592,90051,86306492,520173,351000,18.273415379180292,12.768541502448002
35,1903,19,TREINTA Y TRES,3,CANELONES,259,11720592,48134,86306492,520173,265708,18.273415379180292,12.490153240440288
36,104,1,MONTEVIDEO,4,CERRO LARGO,1387,465848031,1318755,17048887,84698,393686,16.651595480970684,12.883308916228435
37,204,2,ARTIGAS,4,CERRO LARGO,20,14214980,73377,17048887,84698,406691,16.651595480970684,12.915808962316797
38,304,3,CANELONES,4,CERRO LARGO,274,86306492,520173,17048887,84698,371156,16.651595480970684,12.824377738385657
39,504,5,COLONIA,4,CERRO LARGO,20,43788749,123203,17048887,84698,472743,16.651595480970684,13.066307179430646
40,604,6,DURAZNO,4,CERRO LARGO,64,13023942,57084,17048887,84698,277112,16.651595480970684,12.532177035579231
41,704,7,FLORES,4,CERRO LARGO,13,7284124,25050,17048887,84698,347479,16.651595480970684,12.758459510506242
42,804,8,FLORIDA,4,CERRO LARGO,37,17767290,67047,17048887,84698,335791,16.651595480970684,12.724244221598747
43,904,9,LAVALLEJA,4,CERRO LARGO,64,15594153,58815,17048887,84698,268569,16.651595480970684,12.500863143156742
44,1004,10,MALDONADO,4,CERRO LARGO,208,51311595,164298,17048887,84698,322432,16.651595480970684,12.683647540272228
45,1104,11,PAYSANDU,4,CERRO LARGO,35,26828524,113107,17048887,84698,444734,16.651595480970684,13.005231629613952
46,1204,12,RIO NEGRO,4,CERRO LARGO,20,24297744,54765,17048887,84698,486386,16.651595480970684,13.094757826325122
47,1304,13,RIVERA,4,CERRO LARGO,162,20212707,103473,17048887,84698,240872,16.651595480970684,12.392020951046478
48,1404,14,ROCHA,4,CERRO LARGO,59,17547856,68088,17048887,84698,254955,16.651595480970684,12.448842337979562
49,1504,15,SALTO,4,CERRO LARGO,18,25542275,124861,17048887,84698,427088,16.651595480970684,12.964745359970317
50,1604,16,SAN JOSE,4,CERRO LARGO,31,26930981,108304,17048887,84698,417390,16.651595480970684,12.941776315504033
51,1704,17,SORIANO,4,CERRO LARGO,12,22993631,82594,17048887,84698,468718,16.651595480970684,13.057756587269816
52,1804,18,TACUAREMBO,4,CERRO LARGO,168,18093592,90051,17048887,84698,249479,16.651595480970684,12.427130022294683
53,1904,19,TREINTA Y TRES,4,CERRO LARGO,409,11720592,48134,17048887,84698,109230,16.651595480970684,11.60121102983759
54,105,1,MONTEVIDEO,5,COLONIA,2100,465848031,1318755,43788749,123203,172776,17.594887470203254,12.059751236817249
55,205,2,ARTIGAS,5,COLONIA,167,14214980,73377,43788749,123203,556293,17.594887470203254,13.229050412845622
56,305,3,CANELONES,5,COLONIA,422,86306492,520173,43788749,123203,189991,17.594887470203254,12.154731981599651
57,405,4,CERRO LARGO,5,COLONIA,63,17048887,84698,43788749,123203,472749,17.594887470203254,13.066319871235548
58,605,6,DURAZNO,5,COLONIA,70,13023942,57084,43788749,123203,199701,17.594887470203254,12.204576526902637
59,705,7,FLORES,5,COLONIA,86,7284124,25050,43788749,123203,125265,17.594887470203254,11.738186772255439
60,805,8,FLORIDA,5,COLONIA,107,17767290,67047,43788749,123203,194958,17.594887470203254,12.180539429731901
61,905,9,LAVALLEJA,5,COLONIA,39,15594153,58815,43788749,123203,282446,17.594887470203254,12.55124266085458
62,1005,10,MALDONADO,5,COLONIA,196,51311595,164298,43788749,123203,296836,17.594887470203254,12.600935076720404
63,1105,11,PAYSANDU,5,COLONIA,151,26828524,113107,43788749,123203,251002,17.594887470203254,12.433216186209666
64,1205,12,RIO NEGRO,5,COLONIA,176,24297744,54765,43788749,123203,173118,17.594887470203254,12.0617287218933
