depto_origen,depto_destino,cod,n,edad_promedio,edad_mediana,varones,mujeres,ind_masc
1,2,102,914,30.855579868708972,28,428,486,88.07
1,3,103,33127,35.47474869441845,33,16049,17078,93.97
1,4,104,1387,32.63013698630137,30,684,703,97.3
1,5,105,2100,34.2652380952381,32,944,1156,81.66
1,6,106,982,31.54989816700611,30,454,528,85.98
1,7,107,378,34.27777777777778,31,176,202,87.13
1,8,108,1026,34.50877192982456,31,455,571,79.68
1,9,109,825,36.22545454545455,31,381,444,85.81
1,10,110,3914,37.17680122636689,34,1872,2042,91.67
1,11,111,1075,31.55441860465116,29,522,553,94.39
1,12,112,886,31.791196388261852,31,400,486,82.3
1,13,113,1665,32.174774774774775,30,853,812,105.05
1,14,114,1266,36.018957345971565,33,615,651,94.47
1,15,115,1547,32.625727213962506,30,727,820,88.66
1,16,116,4209,32.416726063197906,30,2014,2195,91.75
1,17,117,1173,32.648763853367434,30,523,650,80.46
1,18,118,1421,33.10555946516538,31,715,706,101.27
1,19,119,760,32.87894736842105,31,362,398,90.95
2,1,201,2395,26.57912317327766,22,1054,1341,78.6
2,3,203,536,29.41417910447761,24,265,271,97.79
2,4,204,20,30.4,28,7,13,53.85
2,5,205,167,28.95808383233533,24,90,77,116.88
2,6,206,33,30.96969696969697,35,15,18,83.33
2,7,207,21,27.428571428571427,30,10,11,90.91
2,8,208,40,28.125,22,20,20,100.0
2,9,209,15,24.466666666666665,24,6,9,66.67
2,10,210,472,28.1885593220339,24,248,224,110.71
2,11,211,200,27.61,24,103,97,106.19
2,12,212,57,27.43859649122807,26,30,27,111.11
2,13,213,146,30.458904109589042,26,68,78,87.18
2,14,214,47,30.5531914893617,30,19,28,67.86
2,15,215,794,28.241813602015114,22,390,404,96.53
2,16,216,92,27.858695652173914,24,43,49,87.76
2,17,217,24,30.375,30,15,9,166.67
2,18,218,100,27.45,26,56,44,127.27
2,19,219,5,34.4,27,3,2,150.0
3,1,301,11162,31.58340799139939,28,5122,6040,84.8
3,2,302,74,35.310810810810814,31,43,31,138.71
3,4,304,274,34.7992700729927,34,143,131,109.16
3,5,305,422,32.91232227488152,31,204,218,93.58
3,6,306,223,34.511210762331835,32,115,108,106.48
3,7,307,82,40.03658536585366,36,38,44,86.36
3,8,308,670,32.417910447761194,28,337,333,101.2
3,9,309,403,34.997518610421835,31,200,203,98.52
3,10,310,1345,34.41710037174721,31,680,665,102.26
3,11,311,148,32.61486486486486,29,83,65,127.69
3,12,312,154,32.70779220779221,31,82,72,113.89
3,13,313,320,32.684375,29,177,143,123.78
3,14,314,360,32.791666666666664,31,174,186,93.55
3,15,315,159,30.18238993710692,27,78,81,96.3
3,16,316,908,32.590308370044056,31,447,461,96.96
3,17,317,154,31.181818181818183,28,77,77,100.0
3,18,318,251,31.904382470119522,29,130,121,107.44
3,19,319,124,34.645161290322584,32,69,55,125.45
4,1,401,1805,26.24875346260388,21,785,1020,76.96
4,2,402,15,30.2,33,10,5,200.0
4,3,403,435,34.02528735632184,28,207,228,90.79
4,5,405,63,31.984126984126984,30,30,33,90.91
4,6,406,67,31.71641791044776,29,36,31,116.13
4,7,407,5,51.6,55,2,3,66.67
4,8,408,73,32.6986301369863,33,41,32,128.12
4,9,409,131,32.01526717557252,26,74,57,129.82
4,10,410,810,27.590123456790124,23,419,391,107.16
4,11,411,61,30.311475409836067,27,30,31,96.77
4,12,412,41,29.951219512195124,29,20,21,95.24
4,13,413,145,29.910344827586208,24,60,85,70.59
4,14,414,95,34.31578947368421,33,54,41,131.71
4,15,415,19,33.94736842105263,27,9,10,90.0
4,16,416,49,34.714285714285715,30,22,27,81.48
4,17,417,34,31.0,27,19,15,126.67
4,18,418,135,30.237037037037037,29,66,69,95.65
4,19,419,476,31.985294117647058,28,238,238,100.0
5,1,501,2690,26.14907063197026,21,1177,1513,77.79
5,2,502,28,23.142857142857142,22,16,12,133.33
5,3,503,366,34.72950819672131,31,190,176,107.95
5,4,504,20,32.9,30,9,11,81.82
5,6,506,63,31.571428571428573,30,38,25,152.0
5,7,507,69,29.608695652173914,26,39,30,130.0
5,8,508,53,30.471698113207548,27,30,23,130.43
5,9,509,19,43.05263157894737,36,10,9,111.11
5,10,510,309,34.71844660194175,32,155,154,100.65
5,11,511,71,32.08450704225352,22,36,35,102.86
5,12,512,88,32.875,32,47,41,114.63
5,13,513,34,27.941176470588236,23,18,16,112.5
5,14,514,35,33.857142857142854,29,25,10,250.0
5,15,515,68,30.11764705882353,32,35,33,106.06
5,16,516,269,32.152416356877325,29,140,129,108.53
5,17,517,513,30.840155945419102,28,267,246,108.54
5,18,518,34,32.029411764705884,33,18,16,112.5
5,19,519,23,31.0,33,12,11,109.09
6,1,601,1610,27.35217391304348,22,729,881,82.75
6,2,602,32,27.53125,32,14,18,77.78
6,3,603,466,33.39484978540773,28,238,228,104.39
6,4,604,64,31.484375,29,33,31,106.45
6,5,605,70,31.142857142857142,26,28,42,66.67
6,7,607,149,29.986577181208055,26,78,71,109.86
6,8,608,404,27.64851485148515,25,211,193,109.33
6,9,609,67,28.059701492537314,26,36,31,116.13
6,10,610,198,30.03030303030303,26,91,107,85.05
6,11,611,59,28.35593220338983,24,30,29,103.45
6,12,612,62,30.451612903225808,32,35,27,129.63
6,13,613,42,28.30952380952381,25,18,24,75.0
6,14,614,61,29.672131147540984,29,27,34,79.41
6,15,615,28,29.714285714285715,29,14,14,100.0
6,16,616,124,27.370967741935484,24,59,65,90.77
6,17,617,32,32.71875,30,18,14,128.57
6,18,618,212,32.22641509433962,29,118,94,125.53
6,19,619,77,28.142857142857142,26,34,43,79.07
7,1,701,735,26.0421768707483,21,301,434,69.35
7,2,702,2,25.5,25,2,0,inf
7,3,703,162,32.17283950617284,27,78,84,92.86
7,4,704,13,28.76923076923077,29,7,6,116.67
7,5,705,86,27.523255813953487,25,49,37,132.43
7,6,706,90,32.13333333333333,32,47,43,109.3
7,8,708,76,28.57894736842105,27,42,34,123.53
7,9,709,5,16.4,13,3,2,150.0
7,10,710,79,31.518987341772153,28,39,40,97.5
7,11,711,30,25.4,22,15,15,100.0
7,12,712,36,31.083333333333332,27,17,19,89.47
