cod;depto_origen;depto_destino;personas_mig;personas_mig_18_25;personas_mig_26_35;personas_mig_100k;pob_origen;pob_destino;dist;dist_km;pbi_origen;pbi_porcen_ori;pbi_destino;pbi_porcen_des;pbi_origen_millardos;pbi_destino_millardos;largo_limite;dummy_limit;empresas_origen;empresas_destino;menores_25_origen;menores_25_destino;pob_destino_k;pob_origen_k;nom_depto_orig;nom_depto_des;edad_prom_ori;porc_ocupados_ori;edad_prom_des;porc_ocupados_des;tasa_desemp_mujeres_2011_ori;tasa_desemp_varones_2011_ori;tasa_desemp_total_2011_ori;tasa_desemp_mujeres_2011_des;tasa_desemp_varones_2011_des;tasa_desemp_total_2011_des;log_pbi_destino;log_dist_km;log_pbi_origen_millardos;log_pbi_destino_millardos;log_pob_destino_k;log_pob_origen_k;log_edad_prom_des;log_porc_ocupados_des
102;1;2;914;114;247;891;1318755;73377;610726;611;465848031;50,3;14214980;1,5;465,848;14,215;;False;3124;55;456072;30880;73,377;1318,755;MONTEVIDEO;ARTIGAS;37,481047654795624;70,39570159219609;33,966910612317214;63,54048882317126;7,4;5,1;6,2;11,5;5,4;8,1;16,469806896101773;6,415096959171596;6,143859400659784;2,654297745102963;4,295610535016993;7,184443388686383;3,525386833447946;4,151677321968392
302;3;2;74;9;22;70;520173;73377;601915;602;86306492;9,3;14214980;1,5;86,306;14,215;;False;563;55;197993;30880;73,377;520,173;CANELONES;ARTIGAS;35,40663971409512;71,04518002114733;33,966910612317214;63,54048882317126;8,1;4,3;6,0;11,5;5,4;8,1;16,469806896101773;6,400257445308821;4,457899120585731;2,654297745102963;4,295610535016993;6,254161448553351;3,525386833447946;4,151677321968392
402;4;2;15;0;6;14;84698;73377;406694;407;17048887;1,8;14214980;1,5;17,049;14,215;;False;88;55;33360;30880;73,377;84,698;CERRO LARGO;ARTIGAS;35,614748872464524;65,58203917553142;33,966910612317214;63,54048882317126;3,8;1,7;2,6;11,5;5,4;8,1;16,469806896101773;6,008813185442595;2,836091550983094;2,654297745102963;4,295610535016993;4,439091988628338;3,525386833447946;4,151677321968392
502;5;2;28;7;8;25;123203;73377;556292;556;43788749;4,7;14214980;1,5;43,789;14,215;;False;60;55;43030;30880;73,377;123,203;COLONIA;ARTIGAS;37,63241966510556;76,05841493228472;33,966910612317214;63,54048882317126;4,1;2,5;3,2;11,5;5,4;8,1;16,469806896101773;6,320768294250582;3,7793826442885683;2,654297745102963;4,295610535016993;4,813833401452298;3,525386833447946;4,151677321968392
602;6;2;32;0;10;29;57084;73377;446123;446;13023942;1,4;14214980;1,5;13,024;14,215;;False;40;55;22663;30880;73,377;57,084;DURAZNO;ARTIGAS;35,09302081143578;67,28410796725862;33,966910612317214;63,54048882317126;13,1;5,8;8,9;11,5;5,4;8,1;16,469806896101773;6,100318952020064;2,5667938092601843;2,654297745102963;4,295610535016993;4,044523867238145;3,525386833447946;4,151677321968392
702;7;2;2;1;1;1;25050;73377;450690;451;7284124;0,8;14214980;1,5;7,284;14,215;;False;28;55;9048;30880;73,377;25,05;FLORES;ARTIGAS;37,06007984031936;75,4187792824594;33,966910612317214;63,54048882317126;6,6;4,4;5,4;11,5;5,4;8,1;16,469806896101773;6,111467339502679;1,9856801618653614;2,654297745102963;4,295610535016993;3,2208738275308737;3,525386833447946;4,151677321968392
802;8;2;13;1;0;12;67047;73377;533821;534;17767290;1,9;14214980;1,5;17,767;14,215;;False;101;55;24814;30880;73,377;67,047;FLORIDA;ARTIGAS;36,72022611004221;71,73437762775389;33,966910612317214;63,54048882317126;7,4;3,0;4,9;11,5;5,4;8,1;16,469806896101773;6,280395838960195;2,877342804053769;2,654297745102963;4,295610535016993;4,2053938659973955;3,525386833447946;4,151677321968392
902;9;2;7;2;1;7;58815;73377;593134;593;15594153;1,7;14214980;1,5;15,594;14,215;;False;54;55;20753;30880;73,377;58,815;LAVALLEJA;ARTIGAS;37,93515259712658;72,52336448598132;33,966910612317214;63,54048882317126;9,2;2,7;5,5;11,5;5,4;8,1;16,469806896101773;6,385194398997726;2,746886224887408;2,654297745102963;4,295610535016993;4,0743969244124045;3,525386833447946;4,151677321968392
1002;10;2;46;11;11;45;164298;73377;658957;659;51311595;5,5;14214980;1,5;51,312;14,215;;False;188;55;62922;30880;73,377;164,298;MALDONADO;ARTIGAS;35,05074924831708;73,44975086524454;33,966910612317214;63,54048882317126;7,7;3,7;5,5;11,5;5,4;8,1;16,469806896101773;6,490723534502507;3,937924642950799;2,654297745102963;4,295610535016993;5,101681852114599;3,525386833447946;4,151677321968392
1102;11;2;75;12;10;59;113107;73377;304617;305;26828524;2,9;14214980;1,5;26,829;14,215;;False;144;55;46112;30880;73,377;113,107;PAYSANDU;ARTIGAS;34,56219332136826;67,06215335353652;33,966910612317214;63,54048882317126;7,4;4,9;5,9;11,5;5,4;8,1;16,469806896101773;5,720311776607412;3,289483392032154;2,654297745102963;4,295610535016993;4,728334273337693;3,525386833447946;4,151677321968392
1202;12;2;30;3;6;20;54765;73377;380391;380;24297744;2,6;14214980;1,5;24,298;14,215;;False;67;55;22474;30880;73,377;54,765;RIO NEGRO;ARTIGAS;34,17324933808089;67,71526102054028;33,966910612317214;63,54048882317126;8,2;5,6;6,7;11,5;5,4;8,1;16,469806896101773;5,940171252720432;3,1903940424325503;2,654297745102963;4,295610535016993;4,00305130377571;3,525386833447946;4,151677321968392
1302;13;2;102;12;16;96;103473;73377;165823;166;20212707;2,2;14214980;1,5;20,213;14,215;;False;62;55;42934;30880;73,377;103,473;RIVERA;ARTIGAS;33,98187933083993;65,9688442829875;33,966910612317214;63,54048882317126;6,9;5,2;5,9;11,5;5,4;8,1;16,469806896101773;5,111987788356544;3,006325961764861;2,654297745102963;4,295610535016993;4,639310709107822;3,525386833447946;4,151677321968392
1402;14;2;8;4;0;8;68088;73377;623208;623;17547856;1,9;14214980;1,5;17,548;14,215;;False;54;55;24443;30880;73,377;68,088;ROCHA;ARTIGAS;36,931441663729295;67,36970952403371;33,966910612317214;63,54048882317126;6,1;2,8;4,2;11,5;5,4;8,1;16,469806896101773;6,434546518787453;2,8649399833039673;2,654297745102963;4,295610535016993;4,22080098617466;3,525386833447946;4,151677321968392
1502;15;2;380;74;74;222;124861;73377;184479;184;25542275;2,8;14214980;1,5;25,542;14,215;197272,0;True;97;55;53810;30880;73,377;124,861;SALTO;ARTIGAS;33,297819174922516;66,35408370372274;33,966910612317214;63,54048882317126;9,2;5,0;6,8;11,5;5,4;8,1;16,469806896101773;5,214935757608986;3,2403241560740703;2,654297745102963;4,295610535016993;4,827201118571573;3,525386833447946;4,151677321968392
1602;16;2;15;3;3;12;108304;73377;570207;570;26930981;2,9;14214980;1,5;26,931;14,215;;False;154;55;40551;30880;73,377;108,304;SAN JOSE;ARTIGAS;35,62451986999557;70,87153001936734;33,966910612317214;63,54048882317126;8,7;4,7;6,4;11,5;5,4;8,1;16,469806896101773;6,345636360828596;3,293278039442661;2,654297745102963;4,295610535016993;4,6849420877662515;3,525386833447946;4,151677321968392
1702;17;2;9;1;4;7;82594;73377;447326;447;22993631;2,5;14214980;1,5;22,994;14,215;;False;85;55;31637;30880;73,377;82,594;SORIANO;ARTIGAS;35,76436545027484;70,56486944330861;33,966910612317214;63,54048882317126;8,3;3,0;5,2;11,5;5,4;8,1;16,469806896101773;6,102558594613569;3,1352333123315486;2,654297745102963;4,295610535016993;4,413937038663394;3,525386833447946;4,151677321968392
1802;18;2;50;4;15;44;90051;73377;254949;255;18093592;2,0;14214980;1,5;18,094;14,215;;False;61;55;35648;30880;73,377;90,051;TACUAREMBO;ARTIGAS;35,0003442493698;65,68821966341896;33,966910612317214;63,54048882317126;9,0;5,2;6,8;11,5;5,4;8,1;16,469806896101773;5,541263545158426;2,89558039160355;2,654297745102963;4,295610535016993;4,500376176502005;3,525386833447946;4,151677321968392
1902;19;2;10;1;4;9;48134;73377;481308;481;11720592;1,3;14214980;1,5;11,721;14,215;;False;38;55;18500;30880;73,377;48,134;TREINTA Y TRES;ARTIGAS;35,69273278763452;66,06116652354845;33,966910612317214;63,54048882317126;12,0;5,4;8,0;11,5;5,4;8,1;16,469806896101773;6,175867270105761;2,4613821047410434;2,654297745102963;4,295610535016993;3,8739887881102124;3,525386833447946;4,151677321968392
103;1;3;33127;3757;7904;0;1318755;520173;22544;23;465848031;50,3;86306492;9,3;465,848;86,306;60107,0;True;3124;563;456072;197993;520,173;1318,755;MONTEVIDEO;CANELONES;37,481047654795624;70,39570159219609;35,40663971409512;71,04518002114733;7,4;5,1;6,2;8,1;4,3;6,0;18,273415379180292;3,1354942159291497;6,143859400659784;4,457899120585731;6,254161448553351;7,184443388686383;3,5668993650971337;4,263316012989951
403;4;3;435;98;80;371;84698;520173;371156;371;17048887;1,8;86306492;9,3;17,049;86,306;;False;88;563;33360;197993;520,173;84,698;CERRO LARGO;CANELONES;35,614748872464524;65,58203917553142;35,40663971409512;71,04518002114733;3,8;1,7;2,6;8,1;4,3;6,0;18,273415379180292;5,916202062607435;2,836091550983094;4,457899120585731;6,254161448553351;4,439091988628338;3,5668993650971337;4,263316012989951
503;5;3;366;53;74;335;123203;520173;189992;190;43788749;4,7;86306492;9,3;43,789;86,306;;False;60;563;43030;197993;520,173;123,203;COLONIA;CANELONES;37,63241966510556;76,05841493228472;35,40663971409512;71,04518002114733;4,1;2,5;3,2;8,1;4,3;6,0;18,273415379180292;5,247024072160486;3,7793826442885683;4,457899120585731;6,254161448553351;4,813833401452298;3,5668993650971337;4,263316012989951
603;6;3;466;101;89;367;57084;520173;190058;190;13023942;1,4;86306492;9,3;13,024;86,306;;False;40;563;22663;197993;520,173;57,084;DURAZNO;CANELONES;35,09302081143578;67,28410796725862;35,40663971409512;71,04518002114733;13,1;5,8;8,9;8,1;4,3;6,0;18,273415379180292;5,247024072160486;2,5667938092601843;4,457899120585731;6,254161448553351;4,044523867238145;3,5668993650971337;4,263316012989951
703;7;3;162;33;29;122;25050;520173;174329;174;7284124;0,8;86306492;9,3;7,284;86,306;;False;28;563;9048;197993;520,173;25,05;FLORES;CANELONES;37,06007984031936;75,4187792824594;35,40663971409512;71,04518002114733;6,6;4,4;5,4;8,1;4,3;6,0;18,273415379180292;5,159055299214529;1,9856801618653614;4,457899120585731;6,254161448553351;3,2208738275308737;3,5668993650971337;4,263316012989951
803;8;3;892;161;181;136;67047;520173;88131;88;17767290;1,9;86306492;9,3;17,767;86,306;94070,0;True;101;563;24814;197993;520,173;67,047;FLORIDA;CANELONES;36,72022611004221;71,73437762775389;35,40663971409512;71,04518002114733;7,4;3,0;4,9;8,1;4,3;6,0;18,273415379180292;4,477336814478207;2,877342804053769;4,457899120585731;6,254161448553351;4,2053938659973955;3,5668993650971337;4,263316012989951
903;9;3;446;94;99;99;58815;520173;114784;115;15594153;1,7;86306492;9,3;15,594;86,306;51167,0;True;54;563;20753;197993;520,173;58,815;LAVALLEJA;CANELONES;37,93515259712658;72,52336448598132;35,40663971409512;71,04518002114733;9,2;2,7;5,5;8,1;4,3;6,0;18,273415379180292;4,74493212836325;2,746886224887408;4,457899120585731;6,254161448553351;4,0743969244124045;3,5668993650971337;4,263316012989951
1003;10;3;862;144;175;405;164298;520173;113400;113;51311595;5,5;86306492;9,3;51,312;86,306;24113,0;True;188;563;62922;197993;520,173;164,298;MALDONADO;CANELONES;35,05074924831708;73,44975086524454;35,40663971409512;71,04518002114733;7,7;3,7;5,5;8,1;4,3;6,0;18,273415379180292;4,727387818712341;3,937924642950799;4,457899120585731;6,254161448553351;5,101681852114599;3,5668993650971337;4,263316012989951
1103;11;3;434;92;88;341;113107;520173;360009;360;26828524;2,9;86306492;9,3;26,829;86,306;;False;144;563;46112;197993;520,173;113,107;PAYSANDU;CANELONES;34,56219332136826;67,06215335353652;35,40663971409512;71,04518002114733;7,4;4,9;5,9;8,1;4,3;6,0;18,273415379180292;5,886104031450156;3,289483392032154;4,457899120585731;6,254161448553351;4,728334273337693;3,5668993650971337;4,263316012989951
1203;12;3;316;55;61;282;54765;520173;313213;313;24297744;2,6;86306492;9,3;24,298;86,306;;False;67;563;22474;197993;520,173;54,765;RIO NEGRO;CANELONES;34,17324933808089;67,71526102054028;35,40663971409512;71,04518002114733;8,2;5,6;6,7;8,1;4,3;6,0;18,273415379180292;5,746203190540153;3,1903940424325503;4,457899120585731;6,254161448553351;4,00305130377571;3,5668993650971337;4,263316012989951
1303;13;3;584;138;89;475;103473;520173;487219;487;20212707;2,2;86306492;9,3;20,213;86,306;;False;62;563;42934;197993;520,173;103,473;RIVERA;CANELONES;33,98187933083993;65,9688442829875;35,40663971409512;71,04518002114733;6,9;5,2;5,9;8,1;4,3;6,0;18,273415379180292;6,18826412308259;3,006325961764861;4,457899120585731;6,254161448553351;4,639310709107822;3,5668993650971337;4,263316012989951
1403;14;3;407;76;63;331;68088;520173;232418;232;17547856;1,9;86306492;9,3;17,548;86,306;;False;54;563;24443;197993;520,173;68,088;ROCHA;CANELONES;36,931441663729295;67,36970952403371;35,40663971409512;71,04518002114733;6,1;2,8;4,2;8,1;4,3;6,0;18,273415379180292;5,44673737166631;2,8649399833039673;4,457899120585731;6,254161448553351;4,22080098617466;3,5668993650971337;4,263316012989951
1503;15;3;543;109;120;386;124861;520173;478972;479;25542275;2,8;86306492;9,3;25,542;86,306;;False;97;563;53810;197993;520,173;124,861;SALTO;CANELONES;33,297819174922516;66,35408370372274;35,40663971409512;71,04518002114733;9,2;5,0;6,8;8,1;4,3;6,0;18,273415379180292;6,171700597410915;3,2403241560740703;4,457899120585731;6,254161448553351;4,827201118571573;3,5668993650971337;4,263316012989951
1603;16;3;689;116;162;44;108304;520173;82580;83;26930981;2,9;86306492;9,3;26,931;86,306;48749,0;True;154;563;40551;197993;520,173;108,304;SAN JOSE;CANELONES;35,62451986999557;70,87153001936734;35,40663971409512;71,04518002114733;8,7;4,7;6,4;8,1;4,3;6,0;18,273415379180292;4,418840607796598;3,293278039442661;4,457899120585731;6,254161448553351;4,6849420877662515;3,5668993650971337;4,263316012989951
1703;17;3;293;61;61;260;82594;520173;255131;255;22993631;2,5;86306492;9,3;22,994;86,306;;False;85;563;31637;197993;520,173;82,594;SORIANO;CANELONES;35,76436545027484;70,56486944330861;35,40663971409512;71,04518002114733;8,3;3,0;5,2;8,1;4,3;6,0;18,273415379180292;5,541263545158426;3,1352333123315486;4,457899120585731;6,254161448553351;4,413937038663394;3,5668993650971337;4,263316012989951
1803;18;3;596;131;111;461;90051;520173;350845;351;18093592;2,0;86306492;9,3;18,094;86,306;;False;61;563;35648;197993;520,173;90,051;TACUAREMBO;CANELONES;35,0003442493698;65,68821966341896;35,40663971409512;71,04518002114733;9,0;5,2;6,8;8,1;4,3;6,0;18,273415379180292;5,860786223465865;2,89558039160355;4,457899120585731;6,254161448553351;4,500376176502005;3,5668993650971337;4,263316012989951
1903;19;3;259;59;35;218;48134;520173;265708;266;11720592;1,3;86306492;9,3;11,721;86,306;;False;38;563;18500;197993;520,173;48,134;TREINTA Y TRES;CANELONES;35,69273278763452;66,06116652354845;35,40663971409512;71,04518002114733;12,0;5,4;8,0;8,1;4,3;6,0;18,273415379180292;5,583496308781699;2,4613821047410434;4,457899120585731;6,254161448553351;3,8739887881102124;3,5668993650971337;4,263316012989951
203;2;3;536;169;88;491;73377;520173;601915;602;14214980;1,5;86306492;9,3;14,215;86,306;;False;55;563;30880;197993;520,173;73,377;ARTIGAS;CANELONES;33,966910612317214;63,54048882317126;35,40663971409512;71,04518002114733;11,5;5,4;8,1;8,1;4,3;6,0;18,273415379180292;6,400257445308821;2,654297745102963;4,457899120585731;6,254161448553351;4,295610535016993;3,5668993650971337;4,263316012989951
104;1;4;1387;162;401;1349;1318755;84698;393703;394;465848031;50,3;17048887;1,8;465,848;17,049;;False;3124;88;456072;33360;84,698;1318,755;MONTEVIDEO;CERRO LARGO;37,481047654795624;70,39570159219609;35,614748872464524;65,58203917553142;7,4;5,1;6,2;3,8;1,7;2,6;16,651595480970684;5,976350909297934;6,143859400659784;2,836091550983094;4,439091988628338;7,184443388686383;3,5727598462322026;4,183301865405959
