loc_origen,loc_destino,personas_mig,pobl_origen,pobl_destino,cod,distancia_m
1020,2220,635,1304729,40657,10202220,583715
3221,2220,5,71258,40657,32212220,570608
3320,2220,10,19865,40657,33202220,547145
3321,2220,1,20524,40657,33212220,573837
3322,2220,1,25947,40657,33222220,583158
3323,2220,1,16742,40657,33232220,546931
3421,2220,2,16244,40657,34212220,565389
3422,2220,1,7133,40657,34222220,530746
3525,2220,2,15908,40657,35252220,598874
3621,2220,7,5562,40657,36212220,592437
3624,2220,1,2508,40657,36242220,562056
3631,2220,7,4397,40657,36312220,582686
3727,2220,1,8628,40657,37272220,598986
3729,2220,1,8626,40657,37292220,595537
3732,2220,3,18573,40657,37322220,596376
3828,2220,1,21091,40657,38282220,596379
3830,2220,1,4724,40657,38302220,594496
4220,2220,10,51830,40657,42202220,368473
4522,2220,1,14604,40657,45222220,456281
5320,2220,10,26231,40657,53202220,586646
5422,2220,2,10085,40657,54222220,562069
5521,2220,1,3390,40657,55212220,526022
5831,2220,3,999,40657,58312220,538025
6220,2220,14,34368,40657,62202220,409305
7721,2220,1,918,40657,77212220,506008
8220,2220,5,33639,40657,82202220,497124
8623,2220,1,1849,40657,86232220,541152
8991,2220,1,83,40657,89912220,519874
9220,2220,1,38446,40657,92202220,605710
9522,2220,4,5118,40657,95222220,477399
10320,2220,18,62590,40657,103202220,656118
10321,2220,2,27471,40657,103212220,642752
10522,2220,2,6597,40657,105222220,633931
10524,2220,4,9277,40657,105242220,661203
11120,2220,33,76412,40657,111202220,319113
11521,2220,1,5039,40657,115212220,302287
11723,2220,1,1159,40657,117232220,329070
11827,2220,1,1094,40657,118272220,331433
11931,2220,3,340,40657,119312220,325327
11953,2220,1,700,40657,119532220,266582
12320,2220,5,24406,40657,123202220,437920
12421,2220,1,16756,40657,124212220,363982
13220,2220,63,64465,40657,132202220,157307
13521,2220,1,3788,40657,135212220,190436
13522,2220,1,7235,40657,135222220,123183
13621,2220,2,3698,40657,136212220,263692
13721,2220,1,2657,40657,137212220,156864
13824,2220,1,128,40657,138242220,204333
13943,2220,1,240,40657,139432220,93432
14320,2220,3,25422,40657,143202220,616200
14521,2220,1,9675,40657,145212220,599624
15120,2220,93,104011,40657,151202220,201278
15721,2220,2,305,40657,157212220,120455
15825,2220,4,138,40657,158252220,90615
15831,2220,4,210,40657,158312220,84683
15946,2220,1,223,40657,159462220,101694
15949,2220,1,733,40657,159492220,98051
15970,2220,2,460,40657,159702220,147426
15971,2220,1,101,40657,159712220,99823
16220,2220,8,36743,40657,162202220,528540
16824,2220,1,6870,40657,168242220,587915
16945,2220,1,162,40657,169452220,554948
17220,2220,2,41974,40657,172202220,434542
18220,2220,28,54755,40657,182202220,205252
18321,2220,4,12985,40657,183212220,342667
18521,2220,1,3415,40657,185212220,324242
18822,2220,1,160,40657,188222220,277743
19220,2220,4,25477,40657,192202220,448534
19521,2220,2,2341,40657,195212220,417841
19522,2220,3,3810,40657,195222220,457286
1020,2521,90,1304729,12200,10202521,612802
3221,2521,1,71258,12200,32212521,599695
3320,2521,2,19865,12200,33202521,576059
3322,2521,2,25947,12200,33222521,617631
3421,2521,2,16244,12200,34212521,594476
3524,2521,1,6570,12200,35242521,612867
4220,2521,3,51830,12200,42202521,484107
5320,2521,2,26231,12200,53202521,525707
5621,2521,1,3235,12200,56212521,527686
6220,2521,14,34368,12200,62202521,467165
8220,2521,4,33639,12200,82202521,548705
9991,2521,1,38,12200,99912521,604198
10320,2521,5,62590,12200,103202521,716042
11120,2521,11,76412,12200,111202521,258174
11621,2521,2,2853,12200,116212521,208032
11924,2521,1,50,12200,119242521,177809
12320,2521,1,24406,12200,123202521,376981
12797,2521,2,779,12200,127972521,316822
13220,2521,15,64465,12200,132202521,272941
13522,2521,3,7235,12200,135222521,238817
14621,2521,1,1609,12200,146212521,697253
15120,2521,43,104011,12200,151202521,140259
15522,2521,6,1926,12200,155222521,68401
15523,2521,2,2762,12200,155232521,109649
17621,2521,3,2120,12200,176212521,441982
18220,2521,3,54755,12200,182202521,299984
18321,2521,1,12985,12200,183212521,400527
1020,2522,17,1304729,2659,10202522,617076
3320,2522,1,19865,2659,33202522,580333
3323,2522,1,16742,2659,33232522,567936
3631,2522,3,4397,2659,36312522,616936
8721,2522,1,1357,2659,87212522,591565
11120,2522,1,76412,2659,111202522,262448
12320,2522,1,24406,2659,123202522,381255
12421,2522,1,16756,2659,124212522,319844
13220,2522,1,64465,2659,132202522,246422
14421,2522,1,7541,2659,144212522,686621
15120,2522,4,104011,2659,151202522,144533
15522,2522,6,1926,2659,155222522,72675
16220,2522,1,36743,2659,162202522,536461
17220,2522,2,41974,2659,172202522,377877
1020,2621,9,1304729,2531,10202621,595785
10320,2621,2,62590,2531,103202621,680799
11120,2621,1,76412,2531,111202621,241157
11721,2621,1,774,2531,117212621,209875
12421,2621,4,16756,2531,124212621,298553
13220,2621,1,64465,2531,132202621,215283
13521,2621,3,3788,2531,135212621,248412
14422,2621,1,7645,2531,144222621,575655
14521,2621,1,9675,2531,145212621,657600
15120,2621,37,104011,2531,151202621,123242
15522,2621,2,1926,2531,155222621,55515
15523,2621,1,2762,2531,155232621,92632
15822,2621,2,345,2531,158222621,113835
15830,2621,3,67,2531,158302621,172434
15832,2621,1,270,2531,158322621,99935
15943,2621,2,184,2531,159432621,40525
15949,2621,8,733,2531,159492621,94408
16220,2621,1,36743,2531,162202621,515170
1020,2724,5,1304729,935,10202724,617098
3321,2724,1,20524,935,33212724,607220
12320,2724,1,24406,935,123202724,381277
15120,2724,1,104011,935,151202724,144555
15822,2724,1,345,935,158222724,173345
18723,2724,3,1037,935,187232724,347083
1020,2725,1,1304729,1149,10202725,523352
10821,2725,1,8177,1149,108212725,601100
11120,2725,1,76412,1149,111202725,241697
11926,2725,1,735,1149,119262725,155879
15120,2725,2,104011,1149,151202725,123862
15825,2725,2,138,1149,158252725,50013
15944,2725,3,124,1149,159442725,26433
15946,2725,1,223,1149,159462725,24278
15949,2725,11,733,1149,159492725,20635
15950,2725,2,145,1149,159502725,21571
15965,2725,1,481,1149,159652725,48612
15970,2725,1,460,1149,159702725,70010
1020,2822,5,1304729,438,10202822,609491
3221,2822,1,71258,438,32212822,596384
10320,2822,4,62590,438,103202822,712731
15120,2822,1,104011,438,151202822,136948
1020,2823,1,1304729,710,10202823,616582
3732,2823,1,18573,710,37322823,630875
1020,2828,37,1304729,2771,10202828,613922
3525,2828,3,15908,2771,35252828,629081
3828,2828,3,21091,2771,38282828,629525
5320,2828,3,26231,2771,53202828,526827
10320,2828,3,62590,2771,103202828,717162
10942,2828,1,339,2771,109422828,727053
12421,2828,2,16756,2771,124212828,316690
13220,2828,1,64465,2771,132202828,274061
13522,2828,1,7235,2771,135222828,239937
15120,2828,17,104011,2771,151202828,141379
15522,2828,1,1926,2771,155222828,69521
15523,2828,4,2762,2771,155232828,110769
18321,2828,2,12985,2771,183212828,401647
1020,2830,35,1304729,1642,10202830,580186
5422,2830,1,10085,1642,54222830,558540
6220,2830,1,34368,1642,62202830,405776
13220,2830,1,64465,1642,132202830,153778
15120,2830,1,104011,1642,151202830,203242
15831,2830,3,210,1642,158312830,81154
18220,2830,1,54755,1642,182202830,201723
1020,2831,3,1304729,323,10202831,611167
3724,2831,1,1595,323,37242831,645549
10320,2831,1,62590,323,103202831,714407
12421,2831,1,16756,323,124212831,313935
1020,2833,2,1304729,531,10202833,598901
1020,2925,1,1304729,355,10202925,596794
10321,2925,1,27471,355,103212925,699015
12320,2925,1,24406,355,123202925,360973
1020,2958,16,1304729,790,10202958,581272
5321,2958,1,18041,790,53212958,529108
13522,2958,1,7235,790,135222958,120740
15120,2958,5,104011,790,151202958,202646
1020,2959,3,1304729,440,10202959,573845
5323,2959,1,12816,440,53232959,491188
1020,2961,5,1304729,52,10202961,582304
1020,2962,24,1304729,425,10202962,581838
10940,2962,1,944,425,109402962,613442
1020,2963,2,1304729,15,10202963,607274
3320,2963,1,19865,15,33202963,570531
3322,2963,1,25947,15,33222963,612103
9522,2963,1,5118,15,95222963,593968
15120,2963,1,104011,15,151202963,134731
1020,3221,2066,1304729,71258,10203221,14321
2220,3221,21,40657,71258,22203221,570608
2521,3221,18,12200,71258,25213221,599695
2522,3221,6,2659,71258,25223221,603969
2621,3221,1,2531,71258,26213221,582678
2721,3221,1,380,71258,27213221,615106
4220,3221,14,51830,71258,42203221,376228
4522,3221,4,14604,71258,45223221,401199
4621,3221,2,1122,71258,46213221,289216
5320,3221,28,26231,71258,53203221,175516
5321,3221,2,18041,71258,53213221,231663
5323,3221,8,12816,71258,53233221,144051
5421,3221,4,10630,71258,54213221,120214
5423,3221,5,9857,71258,54233221,251652
5521,3221,3,3390,71258,55213221,200579
5621,3221,1,3235,71258,56213221,120388
5622,3221,1,3716,71258,56223221,162526
5726,3221,1,138,71258,57263221,163684
5923,3221,1,298,71258,59233221,203177
5938,3221,1,73,71258,59383221,136465
6220,3221,25,34368,71258,62203221,161919
6421,3221,4,7176,71258,64213221,182319
6521,3221,1,2692,71258,65213221,185174
6621,3221,1,1084,71258,66213221,249137
6964,3221,1,502,71258,69643221,232078
7320,3221,7,21429,71258,73203221,164240
8220,3221,26,33639,71258,82203221,74467
8421,3221,1,6130,71258,84213221,118404
8521,3221,2,2402,71258,85213221,100425
8622,3221,2,2398,71258,86223221,86020
8623,3221,5,1849,71258,86233221,45983
8624,3221,2,1852,71258,86243221,67760
8821,3221,1,540,71258,88213221,68107
8823,3221,1,730,71258,88233221,52217
8825,3221,2,342,71258,88253221,112198
9220,3221,7,38446,71258,92203221,110670
9621,3221,3,1626,71258,96213221,174276
9622,3221,1,2825,71258,96223221,79628
9991,3221,1,38,71258,99913221,166257
10320,3221,30,62590,71258,103203221,134287
10321,3221,10,27471,71258,103213221,135840
10523,3221,2,8830,71258,105233221,102486
10524,3221,4,9277,71258,105243221,137967
10821,3221,4,8177,71258,108213221,131305
10828,3221,2,288,71258,108283221,88595
10944,3221,4,2838,71258,109443221,117907
10945,3221,1,241,71258,109453221,94527
10973,3221,1,1551,71258,109733221,151160
11120,3221,19,76412,71258,111203221,346759
11521,3221,3,5039,71258,115213221,331993
11926,3221,1,735,71258,119263221,428041
11929,3221,3,197,71258,119293221,396082
12320,3221,13,24406,71258,123203221,291096
12421,3221,10,16756,71258,124213221,285380
12622,3221,3,1781,71258,126223221,337846
12797,3221,2,779,71258,127973221,322348
13220,3221,34,64465,71258,132203221,476367
13522,3221,4,7235,71258,135223221,448037
13721,3221,1,2657,71258,137213221,475924
14320,3221,10,25422,71258,143203221,204187
14421,3221,4,7541,71258,144213221,259236
14422,3221,2,7645,71258,144223221,249656
14521,3221,8,9675,71258,145213221,327663
14621,3221,3,1609,71258,146213221,313940
14923,3221,3,370,71258,149233221,332830
14940,3221,1,330,71258,149403221,263904
14941,3221,1,57,71258,149413221,278924
14962,3221,2,823,71258,149623221,297406
15120,3221,37,104011,71258,151203221,460850
16220,3221,28,36743,71258,162203221,70997
16421,3221,9,10166,71258,164213221,50272
16521,3221,9,20239,71258,165213221,25809
16721,3221,2,771,71258,167213221,43443
16821,3221,1,1491,71258,168213221,59639
16823,3221,1,344,71258,168233221,104148
16824,3221,24,6870,71258,168243221,31765
16825,3221,1,469,71258,168253221,42235
16932,3221,2,423,71258,169323221,64479
16933,3221,1,61,71258,169333221,92412
16945,3221,2,162,71258,169453221,75012
17220,3221,15,41974,71258,172203221,259202
17321,3221,1,17174,71258,173213221,261707
17521,3221,4,4600,71258,175213221,162628
18220,3221,32,54755,71258,182203221,366362
18321,3221,17,12985,71258,183213221,228917
18521,3221,6,3415,71258,185213221,339720
18695,3221,2,450,71258,186953221,351128
18980,3221,1,133,71258,189803221,352274
19220,3221,18,25477,71258,192203221,275714
19521,3221,1,2341,71258,195213221,268554
19522,3221,3,3810,71258,195223221,330713
1020,3320,279,1304729,19865,10203320,36942
2220,3320,1,40657,19865,22203320,547145
2521,3320,7,12200,19865,25213320,576059
2522,3320,1,2659,19865,25223320,580333
4220,3320,1,51830,19865,42203320,359292
4522,3320,1,14604,19865,45223320,389648
5320,3320,2,26231,19865,53203320,158248
5321,3320,1,18041,19865,53213320,214395
5621,3320,1,3235,19865,56213320,103120
6220,3320,5,34368,19865,62203320,138456
6421,3320,1,7176,19865,64213320,165383
6621,3320,4,1084,19865,66213320,225674
7320,3320,7,21429,19865,73203320,140604
8220,3320,30,33639,19865,82203320,51004
8521,3320,1,2402,19865,85213320,83489
8621,3320,3,1202,19865,86213320,37154
8823,3320,2,730,19865,88233320,28754
8923,3320,1,166,19865,89233320,56383
9220,3320,4,38446,19865,92203320,108385
10320,3320,10,62590,19865,103203320,146156
10321,3320,1,27471,19865,103213320,147709
10523,3320,1,8830,19865,105233320,115324
10524,3320,5,9277,19865,105243320,149836
10832,3320,1,1703,19865,108323320,142311
10926,3320,1,141,19865,109263320,104534
11120,3320,2,76412,19865,111203320,323123
11723,3320,4,1159,19865,117233320,316525
12320,3320,6,24406,19865,123203320,267460
12421,3320,2,16756,19865,124213320,261744
13220,3320,4,64465,19865,132203320,452904
13837,3320,3,6019,19865,138373320,452221
13931,3320,1,88,19865,139313320,425113
15120,3320,2,104011,19865,151203320,437214
16220,3320,14,36743,19865,162203320,47361
16621,3320,4,2604,19865,166213320,31902
16823,3320,1,344,19865,168233320,80512
16929,3320,2,2585,19865,169293320,82942
17521,3320,4,4600,19865,175213320,138992
18220,3320,6,54755,19865,182203320,342899
18321,3320,2,12985,19865,183213320,205454
19220,3320,5,25477,19865,192203320,264163
19790,3320,5,1694,19865,197903320,220902
1020,3321,1102,1304729,20524,10203321,9878
2220,3321,5,40657,20524,22203321,573837
2521,3321,2,12200,20524,25213321,602924
4220,3321,11,51830,20524,42203321,380967
4521,3321,2,3168,20524,45213321,340759
4522,3321,1,14604,20524,45223321,403959
4827,3321,1,415,20524,48273321,364021
5421,3321,2,10630,20524,54213321,117831
5422,3321,2,10085,20524,54223321,126954
5621,3321,3,3235,20524,56213321,118005
6220,3321,9,34368,20524,62203321,165148
6421,3321,1,7176,20524,64213321,187058
6621,3321,1,1084,20524,66213321,252366
6622,3321,2,1443,20524,66223321,276944
6724,3321,3,1094,20524,67243321,168870
7320,3321,8,21429,20524,73203321,167469
8220,3321,2,33639,20524,82203321,77696
8421,3321,2,6130,20524,84213321,121633
8622,3321,4,2398,20524,86223321,88924
8624,3321,1,1852,20524,86243321,70989
9220,3321,4,38446,20524,92203321,113321
9522,3321,1,5118,20524,95223321,250286
9622,3321,1,2825,20524,96223321,78284
10320,3321,3,62590,20524,103203321,132556
10321,3321,2,27471,20524,103213321,134109
10940,3321,1,944,20524,109403321,84694
11120,3321,7,76412,20524,111203321,349988
11521,3321,6,5039,20524,115213321,335222
11929,3321,1,197,20524,119293321,399311
12320,3321,3,24406,20524,123203321,294325
12621,3321,2,2450,20524,126213321,299521
13220,3321,15,64465,20524,132203321,479596
13521,3321,1,3788,20524,135213321,429370
13522,3321,2,7235,20524,135223321,451266
14320,3321,6,25422,20524,143203321,202456
14422,3321,1,7645,20524,144223321,252307
14521,3321,3,9675,20524,145213321,330314
14722,3321,5,3495,20524,147223321,227266
14923,3321,4,370,20524,149233321,333439
15120,3321,8,104011,20524,151203321,464079
15523,3321,4,2762,20524,155233321,519175
15939,3321,1,354,20524,159393321,476889
16220,3321,8,36743,20524,162203321,74226
16421,3321,6,10166,20524,164213321,47889
16521,3321,1,20239,20524,165213321,23426
16721,3321,2,771,20524,167213321,46672
16824,3321,4,6870,20524,168243321,29382
16924,3321,1,28,20524,169243321,110237
16925,3321,1,517,20524,169253321,47718
17220,3321,17,41974,20524,172203321,262431
17521,3321,1,4600,20524,175213321,165857
17823,3321,4,557,20524,178233321,202476
18321,3321,13,12985,20524,183213321,232146
18695,3321,1,450,20524,186953321,354357
19220,3321,10,25477,20524,192203321,278474
1020,3322,680,1304729,25947,10203322,26841
2220,3322,15,40657,25947,22203322,583158
2521,3322,3,12200,25947,25213322,617631
2522,3322,2,2659,25947,25223322,621905
4220,3322,6,51830,25947,42203322,360995
4966,3322,2,70,25947,49663322,324317
5321,3322,2,18041,25947,53213322,254655
5323,3322,1,12816,25947,53233322,167043
5421,3322,4,10630,25947,54213322,143206
5798,3322,2,192,25947,57983322,268408
6220,3322,10,34368,25947,62203322,174469
6421,3322,2,7176,25947,64213322,174712
7320,3322,1,21429,25947,73203322,182176
8220,3322,2,33639,25947,82203322,87017
8421,3322,1,6130,25947,84213322,130954
8621,3322,2,1202,25947,86213322,78726
8622,3322,1,2398,25947,86223322,68224
8821,3322,1,540,25947,88213322,60500
8933,3322,4,396,25947,89333322,70989
9220,3322,12,38446,25947,92203322,85592
9521,3322,2,2203,25947,95213322,175962
9522,3322,3,5118,25947,95223322,222557
9622,3322,2,2825,25947,96223322,50375
9722,3322,3,553,25947,97223322,186481
9955,3322,1,149,25947,99553322,74927
10320,3322,10,62590,25947,103203322,105911
10321,3322,4,27471,25947,103213322,107464
10522,3322,1,6597,25947,105223322,75397
10523,3322,3,8830,25947,105233322,75079
10524,3322,7,9277,25947,105243322,109591
10826,3322,1,124,25947,108263322,167075
10942,3322,3,339,25947,109423322,115802
10956,3322,1,750,25947,109563322,96025
10969,3322,3,128,25947,109693322,86984
11120,3322,18,76412,25947,111203322,364695
11521,3322,2,5039,25947,115213322,349929
12320,3322,4,24406,25947,123203322,309032
12421,3322,5,16756,25947,124213322,303316
12826,3322,1,362,25947,128263322,327087
13220,3322,5,64465,25947,132203322,488917
13837,3322,2,6019,25947,138373322,488234
14320,3322,1,25422,25947,143203322,175811
14422,3322,5,7645,25947,144223322,224578
14521,3322,4,9675,25947,145213322,302585
15120,3322,23,104011,25947,151203322,478786
15821,3322,2,544,25947,158213322,489879
16220,3322,6,36743,25947,162203322,88933
16521,3322,10,20239,25947,165213322,48801
16824,3322,9,6870,25947,168243322,54757
17220,3322,2,41974,25947,172203322,277138
