cod_ori,latlon_ori,cod_des,latlon_des,cod,distancia
1020,"-34.83459368462574,-56.200727322283996",2220,"-30.42583821419782,-56.48691836714405",10202220,575727
1020,"-34.83459368462574,-56.200727322283996",3320,"-34.5248820942228,-56.28134757794109",10203320,36864
1020,"-34.83459368462574,-56.200727322283996",4220,"-32.366965911958815,-54.16797657500114",10204220,381442
1020,"-34.83459368462574,-56.200727322283996",5320,"-34.45055037560706,-57.838919942012616",10205320,172714
1020,"-34.83459368462574,-56.200727322283996",6220,"-33.38250225260489,-56.5226838660229",10206220,175468
1020,"-34.83459368462574,-56.200727322283996",7320,"-33.5214825688165,-56.89958042575091",10207320,177642
1020,"-34.83459368462574,-56.200727322283996",8220,"-34.10300406870569,-56.22187817478847",10208220,87832
1020,"-34.83459368462574,-56.200727322283996",9220,"-34.37662152849474,-55.244018002185456",10209220,113650
1020,"-34.83459368462574,-56.200727322283996",10320,"-34.8972187652653,-54.94737237904476",102010320,128544
1020,"-34.83459368462574,-56.200727322283996",11120,"-32.318768140700776,-58.07902159500193",102011120,360431
1020,"-34.83459368462574,-56.200727322283996",12320,"-33.12672715408673,-58.29894536750416",102012320,299595
1020,"-34.83459368462574,-56.200727322283996",13220,"-30.91647986120184,-55.569795769247854",102013220,490643
1020,"-34.83459368462574,-56.200727322283996",14320,"-34.47922798203669,-54.326604990723666",102014320,200090
1020,"-34.83459368462574,-56.200727322283996",15120,"-31.39099520425074,-57.938559131114474",102015120,474888
1020,"-34.83459368462574,-56.200727322283996",16220,"-34.338333026427584,-56.71343246500763",102016220,84092
1020,"-34.83459368462574,-56.200727322283996",17220,"-33.255057139215,-58.03061475685623",102017220,268442
1020,"-34.83459368462574,-56.200727322283996",18220,"-31.71656576589131,-55.98227865899393",102018220,380522
1020,"-34.83459368462574,-56.200727322283996",19220,"-33.23222966487474,-54.38252254973986",102019220,278478
2220,"-30.42583821419782,-56.48691836714405",1020,"-34.83459368462574,-56.200727322283996",22201020,575729
2220,"-30.42583821419782,-56.48691836714405",3320,"-34.5248820942228,-56.28134757794109",22203320,539028
