departamento,localidad,codloc,poblacion,densidad
MONTEVIDEO,MONTEVIDEO,1020,1304729,5440
ARTIGAS,ARTIGAS,2220,40657,2740
ARTIGAS,BELLA UNION,2521,12200,1583
ARTIGAS,TOMAS GOMENSORO,2522,2659,1296
ARTIGAS,BALTASAR BRUM,2621,2531,1291
ARTIGAS,BERNABE RIVERA,2721,380,843
ARTIGAS,FRANQUIA,2724,935,31
ARTIGAS,SEQUEIRA,2725,1149,155
ARTIGAS,CORONADO,2822,438,37
ARTIGAS,CUAREIM,2823,710,147
ARTIGAS,CUARO,2824,113,1068
ARTIGAS,JAVIER DE VIANA,2826,140,443
ARTIGAS,LA BOLSA,2827,16,563
ARTIGAS,LAS PIEDRAS,2828,2771,4893
ARTIGAS,PINTADITO,2830,1642,6378
ARTIGAS,PORT. DE HIERRO Y CAMPODONICO,2831,323,27
ARTIGAS,MONES QUINTELA,2833,531,2303
ARTIGAS,CAINSA,2925,355,1122
ARTIGAS,PASO CAMPAMENTO,2927,264,1161
ARTIGAS,DIEGO LAMAS,2934,128,1191
ARTIGAS,PASO FARIAS,2945,38,508
ARTIGAS,RINCON DE PACHECO,2952,27,107
ARTIGAS,TOPADOR,2957,124,870
ARTIGAS,CERRO EJIDO,2958,790,7049
ARTIGAS,COLONIA PALMA,2959,440,1708
ARTIGAS,CERRO SIGNORELLI (EL MIRADOR),2961,52,699
ARTIGAS,CERRO SAN EUGENIO,2962,425,1926
ARTIGAS,CALNU,2963,15,49
CANELONES,LAS PIEDRAS,3221,71258,3150
CANELONES,CANELONES,3320,19865,1582
CANELONES,LA PAZ,3321,20524,4467
CANELONES,PANDO,3322,25947,2471
CANELONES,SANTA LUCIA,3323,16742,453
CANELONES,PIEDRAS DE AFILAR,3324,132,283
CANELONES,CUMBRES DE CARRASCO,3325,32,96
CANELONES,HARAS DEL LAGO,3326,68,592
CANELONES,QUINTA LOS HORNEROS,3327,7,38
CANELONES,LAS HIGUERITAS,3328,0,0
CANELONES,SOFIA SANTOS,3329,54,973
CANELONES,PROGRESO,3421,16244,1758
CANELONES,SAN RAMON,3422,7133,1084
CANELONES,BARROS BLANCOS,3521,31650,1517
CANELONES,COLONIA NICOLICH,3523,9624,1529
CANELONES,JOAQUIN SUAREZ,3524,6570,2462
CANELONES,PASO CARRASCO,3525,15908,2686
CANELONES,SANTA ROSA,3526,3727,1176
CANELONES,SAUCE,3527,6132,1832
CANELONES,TALA,3528,5089,923
CANELONES,VILLA CRESPO Y SAN ANDRES,3529,9813,2352
CANELONES,FRACC. CNO. ANDALUZ Y R.84,3530,9295,2660
CANELONES,ATLANTIDA,3621,5562,1103
CANELONES,ESTACION ATLANTIDA,3622,2274,1763
CANELONES,CERRILLOS,3624,2508,1616
CANELONES,EMPALME OLMOS,3625,4199,1905
CANELONES,MIGUES,3626,2109,1833
CANELONES,PARQUE DEL PLATA,3627,7896,945
CANELONES,SAN BAUTISTA,3628,1973,884
CANELONES,SAN JACINTO,3629,4510,1585
CANELONES,DR. FRANCISCO SOCA,3630,1797,1691
CANELONES,TOLEDO,3631,4397,1506
CANELONES,MONTES,3632,1760,761
CANELONES,SAN JOSE DE CARRASCO,3633,7288,2207
CANELONES,FRACC. SOBRE RUTA 74,3634,1513,1496
CANELONES,AGUAS CORRIENTES,3721,1047,551
CANELONES,BARRA DE CARRASCO,3722,5410,1849
CANELONES,JUANICO,3723,1305,2612
CANELONES,LA FLORESTA,3724,1595,160
CANELONES,ESTACION LA FLORESTA,3725,1313,899
CANELONES,LAS TOSCAS,3726,3146,1022
CANELONES,PARQUE CARRASCO,3727,8628,1241
CANELONES,SALINAS,3729,8626,1745
CANELONES,SAN ANTONIO,3730,1489,1864
CANELONES,AEROPUERTO INTERNACIONAL DE CARRAS,3731,90,8
CANELONES,SOLYMAR,3732,18573,2386
CANELONES,VILLA AEROPARQUE,3733,4307,3090
