,personas_mig,personas_mig,personas_mig,personas_mig,personas_mig,personas_mig,personas_mig,personas_mig,personas_mig,personas_mig,personas_mig,personas_mig,personas_mig,personas_mig,personas_mig,personas_mig,personas_mig,personas_mig,personas_mig
depto_destino,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
depto_origen,,,,,,,,,,,,,,,,,,,
1,0,914,33127,1387,2100,982,378,1026,825,3914,1075,886,1665,1266,1547,4209,1173,1421,760
2,2395,0,536,20,167,33,21,40,15,472,200,57,146,47,794,92,24,100,5
3,11162,74,0,274,422,223,82,670,403,1345,148,154,320,360,159,908,154,251,124
4,1805,15,435,0,63,67,5,73,131,810,61,41,145,95,19,49,34,135,476
5,2690,28,366,20,0,63,69,53,19,309,71,88,34,35,68,269,513,34,23
6,1610,32,466,64,70,0,149,404,67,198,59,62,42,61,28,124,32,212,77
7,735,2,162,13,86,90,0,76,5,79,30,36,10,13,17,116,85,29,14
8,1420,13,892,37,107,307,84,0,163,310,47,30,46,62,19,321,51,68,64
9,1264,7,446,64,39,29,17,138,0,936,28,11,25,150,15,45,11,45,221
10,2333,46,862,208,196,75,58,121,407,0,95,95,117,535,98,131,110,71,259
11,2096,75,434,35,151,55,29,57,37,420,0,640,66,50,480,116,98,229,25
12,1219,30,316,20,176,54,77,27,15,223,516,0,54,48,133,107,270,89,9
13,2390,102,584,162,77,50,22,63,49,227,143,36,0,46,120,99,25,546,57
14,1435,8,407,59,49,18,7,45,130,952,32,30,17,0,29,45,18,21,162
15,2481,380,543,18,134,14,20,48,20,484,564,161,97,38,0,99,75,166,8
16,1852,15,689,31,452,59,122,252,44,230,59,55,32,47,30,0,112,53,23
17,1922,9,293,12,1053,57,90,40,33,335,181,372,18,46,98,147,0,41,16
18,2611,50,596,168,79,304,79,92,50,363,261,134,421,35,174,88,72,0,32
19,1024,10,259,409,41,91,2,58,172,776,16,16,23,174,13,28,25,38,0
