DEPID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,,3775,13806,2993,2447,2310,913,1872,1304,2040,2816,1679,3676,1750,3825,2293,2674,3761,1551
2,1191,,145,43,54,34,7,5,19,42,152,48,164,9,654,12,30,46,16
3,39551,659,,725,306,665,153,973,670,644,396,266,703,490,503,1101,435,775,287
4,1762,21,296,,52,54,19,59,72,118,20,12,216,73,36,35,18,292,610
5,1956,103,254,72,,49,145,57,17,175,133,94,82,53,125,398,1121,59,48
6,1183,41,216,118,35,,110,473,28,54,54,99,79,47,23,47,63,371,107
7,500,15,100,12,88,164,,79,3,43,31,71,23,22,11,123,134,70,2
8,1272,41,650,68,70,436,112,,224,127,48,31,63,83,32,205,50,116,129
9,1174,19,397,146,25,72,14,156,,523,30,13,37,189,23,25,35,32,345
10,4511,295,1326,818,456,335,256,390,1582,,431,241,197,1285,462,244,582,419,855
11,1405,254,157,50,88,76,42,36,19,109,,628,181,41,790,44,141,408,22
12,951,86,126,27,72,73,85,54,9,71,653,,39,28,69,39,453,109,18
13,2167,193,292,160,56,54,12,54,11,65,126,45,,28,217,49,34,729,36
14,1642,28,318,99,48,48,16,53,204,516,40,27,25,,30,64,30,46,191
15,1732,1064,141,29,78,29,14,21,25,108,564,128,162,37,,46,74,259,24
16,4091,117,868,74,407,115,152,190,42,127,114,79,100,41,78,,217,93,42
17,1438,28,148,33,687,85,137,36,20,84,166,340,24,31,60,115,,89,19
18,1653,89,165,160,34,360,54,68,26,62,305,138,549,27,235,35,50,,52
19,1212,19,214,903,32,71,5,67,308,221,7,13,52,323,20,28,40,79,
