DPTO,total,cat_a,cat_b,cat_c,total_mig
1,1318755,42444,0,0,42444
2,73377,0,914,896,1810
3,520173,0,33127,8286,41413
4,84698,0,1387,1614,3001
5,123203,0,2100,3362,5462
6,57084,0,982,1589,2571
7,25050,0,378,933,1311
8,67047,0,1026,2257,3283
9,58815,0,825,1760,2585
10,164298,0,3914,8469,12383
11,113107,0,1075,2511,3586
12,54765,0,886,2018,2904
13,103473,0,1665,1613,3278
14,68088,0,1266,1842,3108
15,124861,0,1547,2294,3841
16,108304,0,4209,2784,6993
17,82594,0,1173,1709,2882
18,90051,0,1421,2128,3549
19,48134,0,760,1595,2355
