DPTO,NOMBRE,miles_de_pesos,porcentaje_pbi
2,ARTIGAS,14214980,"1,5"
3,CANELONES,86306492,"9,3"
4,CERRO LARGO,17048887,"1,8"
5,COLONIA,43788749,"4,7"
6,DURAZNO,13023942,"1,4"
7,FLORES,7284124,"0,8"
8,FLORIDA,17767290,"1,9"
9,LAVALLEJA,15594153,"1,7"
10,MALDONADO,51311595,"5,5"
1,MONTEVIDEO,465848031,"50,3"
11,PAYSANDU,26828524,"2,9"
12,RIO NEGRO,24297744,"2,6"
13,RIVERA,20212707,"2,2"
14,ROCHA,17547856,"1,9"
15,SALTO,25542275,"2,8"
16,SAN JOSE,26930981,"2,9"
17,SORIANO,22993631,"2,5"
18,TACUAREMBO,18093592,2
19,TREINTA Y TRES,11720592,"1,3"
