id,name,lat,lon
1,Montevideo,-34.86347,-56.17403
2,Artigas,-30.40706,-56.81555
3,Canelones,-34.70481,-56.04615
4,Cerro Largo,-32.41253,-54.04713
5,Colonia,-34.23199,-57.74211
6,Durazno,-33.29104,-56.27098
7,Flores,-33.53921,-56.90578
8,Florida,-34.03203,-56.13161
9,Lavalleja,-34.21458,-55.15399
10,Maldonado,-34.85348,-54.98337
11,Paysandú,-32.28387,-57.95999
12,Río Negro,-32.92203,-57.97551
13,Rivera,-31.02322,-55.50845
14,Rocha,-34.15188,-54.03169
15,Salto,-31.35983,-57.88234
16,San José,-34.51475,-56.61756
17,Soriano,-33.41668,-57.9883
18,Tacuarembó,-31.96764,-55.99479
19,Treinta y Tres,-33.16823,-54.35914
